"","hid","pid","NR_ITW","NR_INTVWR","NR_BLS_SSN","NR_BLS_SSN_SQ","TX_BLS_PTH","FL_BLS_ITM_MDF","TM_BLS_ITM_STRT","TM_BLS_ITM_STRT_chr","MS_BLS_ITM_TM"
"97",13,1301,13,"NR_INTVWR_13","SSN_13",7,"F_MODULES.CONSENT",0,2026-02-11 12:07:31,"11FÉVR.2026:12:07:31",43
"98",13,1301,13,"NR_INTVWR_13","SSN_13",8,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-11 12:08:14,"11FÉVR.2026:12:08:14",71
"99",13,1301,13,"NR_INTVWR_13","SSN_13",9,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-11 12:09:25,"11FÉVR.2026:12:09:25",77
"100",13,1301,13,"NR_INTVWR_13","SSN_13",10,"F_INCOME.HY010",0,2026-02-11 12:10:42,"11FÉVR.2026:12:10:42",62
"101",13,1301,13,"NR_INTVWR_13","SSN_13",11,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-11 12:11:44,"11FÉVR.2026:12:11:44",50
"102",14,1401,14,"NR_INTVWR_14","SSN_14",1,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-17 17:27:32,"17FÉVR.2026:17:27:32",81
"103",14,1401,14,"NR_INTVWR_14","SSN_14",2,"F_ADMINISTRATION.TX_END",0,2026-02-17 17:28:53,"17FÉVR.2026:17:28:53",26
"104",14,1401,14,"NR_INTVWR_14","SSN_14",3,"F_MODULES.CONSENT",0,2026-02-17 17:29:19,"17FÉVR.2026:17:29:19",56
"105",14,1401,14,"NR_INTVWR_14","SSN_14",4,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-17 17:30:15,"17FÉVR.2026:17:30:15",31
"106",14,1401,14,"NR_INTVWR_14","SSN_14",5,"F_ADMINISTRATION.TX_END",0,2026-02-17 17:30:46,"17FÉVR.2026:17:30:46",30
"107",14,1401,14,"NR_INTVWR_14","SSN_14",6,"F_ADMINISTRATION.TX_END",0,2026-02-17 17:31:16,"17FÉVR.2026:17:31:16",100
"108",14,1401,14,"NR_INTVWR_14","SSN_14",7,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-17 17:32:56,"17FÉVR.2026:17:32:56",11
"109",14,1401,14,"NR_INTVWR_14","SSN_14",8,"F_INCOME.HY010",0,2026-02-17 17:33:07,"17FÉVR.2026:17:33:07",76
"110",14,1401,14,"NR_INTVWR_14","SSN_14",9,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-17 17:34:23,"17FÉVR.2026:17:34:23",42
"111",14,1401,14,"NR_INTVWR_14","SSN_14",10,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-17 17:35:05,"17FÉVR.2026:17:35:05",32
"112",14,1401,14,"NR_INTVWR_14","SSN_14",11,"F_ADMINISTRATION.TX_END",0,2026-02-17 17:35:37,"17FÉVR.2026:17:35:37",70
"113",15,1501,15,"NR_INTVWR_15","SSN_15",1,"F_MODULES.CONSENT",0,2026-02-18 13:40:30,"18FÉVR.2026:13:40:30",97
"114",15,1501,15,"NR_INTVWR_15","SSN_15",2,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-18 13:42:07,"18FÉVR.2026:13:42:07",37
"115",15,1501,15,"NR_INTVWR_15","SSN_15",3,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-18 13:42:44,"18FÉVR.2026:13:42:44",46
"116",15,1501,15,"NR_INTVWR_15","SSN_15",4,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-18 13:43:30,"18FÉVR.2026:13:43:30",76
"117",15,1501,15,"NR_INTVWR_15","SSN_15",5,"F_INCOME.HY020",0,2026-02-18 13:44:46,"18FÉVR.2026:13:44:46",30
"118",15,1501,15,"NR_INTVWR_15","SSN_15",6,"F_ADMINISTRATION.TX_END",0,2026-02-18 13:45:16,"18FÉVR.2026:13:45:16",94
"119",15,1501,15,"NR_INTVWR_15","SSN_15",7,"F_INCOME.HY020",0,2026-02-18 13:46:50,"18FÉVR.2026:13:46:50",58
"120",15,1501,15,"NR_INTVWR_15","SSN_15",8,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-18 13:47:48,"18FÉVR.2026:13:47:48",91
"121",15,1501,15,"NR_INTVWR_15","SSN_15",9,"F_MODULES.CONSENT",0,2026-02-18 13:49:19,"18FÉVR.2026:13:49:19",32
"122",15,1501,15,"NR_INTVWR_15","SSN_15",10,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-18 13:49:51,"18FÉVR.2026:13:49:51",61
"123",15,1501,15,"NR_INTVWR_15","SSN_15",11,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-18 13:50:52,"18FÉVR.2026:13:50:52",35
"124",16,1601,16,"NR_INTVWR_16","SSN_16",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-11 08:50:15,"11FÉVR.2026:08:50:15",64
"125",16,1601,16,"NR_INTVWR_16","SSN_16",2,"F_INCOME.HY020",0,2026-02-11 08:51:19,"11FÉVR.2026:08:51:19",107
"126",16,1601,16,"NR_INTVWR_16","SSN_16",3,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-11 08:53:06,"11FÉVR.2026:08:53:06",16
"127",16,1601,16,"NR_INTVWR_16","SSN_16",4,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-11 08:53:22,"11FÉVR.2026:08:53:22",30
"128",16,1601,16,"NR_INTVWR_16","SSN_16",5,"F_ADMINISTRATION.TX_END",0,2026-02-11 08:53:52,"11FÉVR.2026:08:53:52",85
"129",17,1701,17,"NR_INTVWR_17","SSN_17",1,"F_MODULES.CONSENT",0,2026-02-10 13:25:15,"10FÉVR.2026:13:25:15",45
"130",17,1701,17,"NR_INTVWR_17","SSN_17",2,"F_INCOME.HY020",0,2026-02-10 13:26:00,"10FÉVR.2026:13:26:00",39
"131",17,1701,17,"NR_INTVWR_17","SSN_17",3,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-10 13:26:39,"10FÉVR.2026:13:26:39",22
"132",17,1701,17,"NR_INTVWR_17","SSN_17",4,"F_ADMINISTRATION.TX_END",0,2026-02-10 13:27:01,"10FÉVR.2026:13:27:01",108
"133",17,1701,17,"NR_INTVWR_17","SSN_17",5,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-10 13:28:49,"10FÉVR.2026:13:28:49",98
"134",17,1701,17,"NR_INTVWR_17","SSN_17",6,"F_ADMINISTRATION.TX_END",0,2026-02-10 13:30:27,"10FÉVR.2026:13:30:27",97
"135",17,1701,17,"NR_INTVWR_17","SSN_17",7,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-10 13:32:04,"10FÉVR.2026:13:32:04",55
"136",17,1701,17,"NR_INTVWR_17","SSN_17",8,"F_ADMINISTRATION.TX_END",0,2026-02-10 13:32:59,"10FÉVR.2026:13:32:59",51
"137",17,1701,17,"NR_INTVWR_17","SSN_17",9,"F_INCOME.HY010",0,2026-02-10 13:33:50,"10FÉVR.2026:13:33:50",58
"138",17,1701,17,"NR_INTVWR_17","SSN_17",10,"F_MODULES.CONSENT",0,2026-02-10 13:34:48,"10FÉVR.2026:13:34:48",40
"139",18,1801,18,"NR_INTVWR_18","SSN_18",1,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-11 08:41:28,"11FÉVR.2026:08:41:28",37
"140",18,1801,18,"NR_INTVWR_18","SSN_18",2,"F_MODULES.CONSENT",0,2026-02-11 08:42:05,"11FÉVR.2026:08:42:05",65
"141",18,1801,18,"NR_INTVWR_18","SSN_18",3,"F_MODULES.CONSENT",0,2026-02-11 08:43:10,"11FÉVR.2026:08:43:10",106
"142",18,1801,18,"NR_INTVWR_18","SSN_18",4,"F_INCOME.HY010",0,2026-02-11 08:44:56,"11FÉVR.2026:08:44:56",24
"143",18,1801,18,"NR_INTVWR_18","SSN_18",5,"F_ADMINISTRATION.TX_END",0,2026-02-11 08:45:20,"11FÉVR.2026:08:45:20",89
"144",18,1801,18,"NR_INTVWR_18","SSN_18",6,"F_MODULES.CONSENT",0,2026-02-11 08:46:49,"11FÉVR.2026:08:46:49",50
"145",18,1801,18,"NR_INTVWR_18","SSN_18",7,"F_ADMINISTRATION.TX_END",0,2026-02-11 08:47:39,"11FÉVR.2026:08:47:39",112
"146",18,1801,18,"NR_INTVWR_18","SSN_18",8,"F_MODULES.CONSENT",0,2026-02-11 08:49:31,"11FÉVR.2026:08:49:31",9
"147",18,1801,18,"NR_INTVWR_18","SSN_18",9,"F_INCOME.HY020",0,2026-02-11 08:49:40,"11FÉVR.2026:08:49:40",102
"148",18,1801,18,"NR_INTVWR_18","SSN_18",10,"F_INCOME.HY010",0,2026-02-11 08:51:22,"11FÉVR.2026:08:51:22",12
"149",18,1801,18,"NR_INTVWR_18","SSN_18",11,"F_MODULES.CONSENT",0,2026-02-11 08:51:34,"11FÉVR.2026:08:51:34",96
"150",18,1801,18,"NR_INTVWR_18","SSN_18",12,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-11 08:53:10,"11FÉVR.2026:08:53:10",100
"151",19,1901,19,"NR_INTVWR_19","SSN_19",1,"F_INCOME.HY010",0,2026-02-12 14:02:37,"12FÉVR.2026:14:02:37",80
"152",19,1901,19,"NR_INTVWR_19","SSN_19",2,"F_ADMINISTRATION.TX_END",0,2026-02-12 14:03:57,"12FÉVR.2026:14:03:57",72
"153",19,1901,19,"NR_INTVWR_19","SSN_19",3,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-12 14:05:09,"12FÉVR.2026:14:05:09",99
"154",19,1901,19,"NR_INTVWR_19","SSN_19",4,"F_ADMINISTRATION.TX_END",0,2026-02-12 14:06:48,"12FÉVR.2026:14:06:48",93
"155",19,1901,19,"NR_INTVWR_19","SSN_19",5,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-12 14:08:21,"12FÉVR.2026:14:08:21",8
"156",19,1901,19,"NR_INTVWR_19","SSN_19",6,"F_ADMINISTRATION.TX_WELCOME",0,2026-02-12 14:08:29,"12FÉVR.2026:14:08:29",16
"157",19,1901,19,"NR_INTVWR_19","SSN_19",7,"F_INCOME.HY020",0,2026-02-12 14:08:45,"12FÉVR.2026:14:08:45",63
"158",19,1901,19,"NR_INTVWR_19","SSN_19",8,"F_ADMINISTRATION.DT_STRT_INTRVW",0,2026-02-12 14:09:48,"12FÉVR.2026:14:09:48",64
"159",19,1901,19,"NR_INTVWR_19","SSN_19",9,"F_INCOME.HY020",0,2026-02-12 14:10:52,"12FÉVR.2026:14:10:52",105
"160",20,2001,20,"NR_INTVWR_20","SSN_20",1,"F_HH_COMPOSITION.NB_PERSONS",0,2026-02-18 12:01:27,"18FÉVR.2026:12:01:27",59
"161",20,2001,20,"NR_INTVWR_20","SSN_20",2,"F_MODULES.CONSENT",0,2026-02-18 12:02:26,"18FÉVR.2026:12:02:26",66
"162",20,2001,20,"NR_INTVWR_20","SSN_20",3,"F_INCOME.HY020",0,2026-02-18 12:03:32,"18FÉVR.2026:12:03:32",49
"163",20,2001,20,"NR_INTVWR_20","SSN_20",4,"F_INCOME.HY020",0,2026-02-18 12:04:21,"18FÉVR.2026:12:04:21",24
"164",20,2001,20,"NR_INTVWR_20","SSN_20",5,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-18 12:04:45,"18FÉVR.2026:12:04:45",83
"165",20,2001,20,"NR_INTVWR_20","SSN_20",6,"F_ADMINISTRATION.DT_TIME_STRT_INTRVW",0,2026-02-18 12:06:08,"18FÉVR.2026:12:06:08",116
