HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY100N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HS010,HS020,HS030,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH090,HX040,HX050,HX090,HX080,HX060,HX070,HX020,HX010,DB040,NR_ITW
2004,BE,783,4,2004,20,18063,15610,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,434,NA,0,0,0,2453,NA,2,NA,1,1,1,1,1,1,1,1,2,2500,3,NA,1,1,2,2,1,1,6,2,1,500,3000,775,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,785,4,2004,12,19768,-16290,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,66,NA,0,0,0,36058,2,2,2,1,1,1,1,1,3,1,1,5,4720,3,NA,2,1,2,2,1,1,6,2,1,250,1200,302.75,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,819,3,2004,15,17553,16945,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,610,NA,0,0,0,608,2,2,2,1,1,1,1,1,1,1,1,4,2000,2,2,2,2,2,2,2,1,6,2,1,NA,750,234,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,821,4,2004,10,14225,11505,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,28,NA,0,0,0,2720,NA,2,NA,1,1,1,1,1,3,1,1,2,2500,3,NA,2,2,2,2,2,1,3,2,2,NA,600,390,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,822,4,2004,24,83469,53616,0,0,NA,NA,NA,NA,NA,0,0,0,0,2615,0,NA,0,0,0,29852,NA,2,NA,1,1,1,1,1,1,1,1,6,2500,3,NA,2,2,2,2,1,2,4,2,1,NA,750,528.63,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,828,3,2004,17,33669,10420,0,0,NA,NA,NA,NA,NA,0,1749,0,0,0,4,NA,0,0,0,23250,NA,2,NA,2,1,1,1,2,1,1,1,1,3000,3,1,2,2,2,1,2,1,2,2,1,NA,750,860.04,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,847,3,2004,11,21015,20993,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,21,2,2,NA,1,1,1,1,1,2,1,3,3,1000,3,NA,2,2,2,2,2,1,4,2,1,375,400,608.53,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,868,4,2004,27,74627,56732,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1698,NA,0,0,0,17894,NA,2,2,1,1,1,1,1,3,1,1,1,2600,1,NA,2,2,2,2,1,1,6,1,1,NA,NA,411,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,876,4,2004,29,23209,24514,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,206,NA,0,0,0,-1306,2,2,2,1,1,1,1,1,1,1,1,6,2500,3,NA,2,2,1,2,1,2,4,2,1,390,750,500,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,894,4,2004,24,8073,1635,0,0,NA,NA,NA,NA,NA,0,1924,0,0,0,4,NA,0,0,10078,-3639,NA,1,2,2,1,1,1,1,1,1,1,4,4000,1,NA,2,2,2,2,1,1,6,2,1,NA,619.73,699.3,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,898,3,2004,28,322,279,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,322,NA,0,0,0,43,2,2,NA,1,1,1,1,1,1,1,1,5,1500,2,NA,2,2,2,2,1,1,6,2,1,600,550,557.63,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,904,4,2004,10,17942,16938,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,1004,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,928,3,2004,20,15251,15218,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,32,1,2,2,1,1,1,1,1,1,1,1,3,1500,3,NA,2,2,2,1,1,1,6,2,1,NA,750,558,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,930,4,2004,10,13733,13752,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,354,NA,0,0,0,-18,NA,2,2,1,1,1,1,1,2,1,1,3,1125,1,NA,2,2,2,2,3,2,5,2,1,NA,450,775,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,931,4,2004,35,56374,41208,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,2816,NA,0,0,97,15069,NA,2,NA,1,1,1,1,1,1,1,1,5,NA,3,NA,2,2,2,2,3,1,6,2,1,NA,1500,1860.21,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,958,4,2004,30,47198,12933,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,96,NA,0,0,0,34265,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,959,4,2004,12,9430,9179,5348,5348,NA,NA,NA,NA,NA,5348,0,0,0,0,446,NA,0,0,0,252,NA,2,NA,1,1,1,1,1,1,1,1,4,1000,1,NA,2,2,1,2,1,1,6,2,1,NA,1500,415,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,967,4,2004,15,31775,25728,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,6048,2,2,NA,1,1,1,1,1,1,1,1,4,2500,1,NA,2,2,2,1,1,1,5,2,1,NA,600,520,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,987,4,2004,47,9248,9236,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,611,NA,0,0,0,12,2,2,NA,1,1,1,1,1,3,2,1,4,2000,3,2,2,2,2,2,3,2,6,2,1,NA,NA,260,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,995,4,2004,20,32,-11559,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,32,NA,0,0,0,11591,NA,2,2,1,1,1,1,1,1,2,1,5,1250,3,NA,2,2,2,2,2,1,6,2,1,NA,1000,962.18,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,1066,4,2004,10,32305,18101,786,786,NA,NA,NA,NA,NA,786,0,0,0,0,40,NA,0,0,1578,12625,1,2,NA,1,1,1,1,1,3,1,1,3,1500,3,NA,2,1,1,2,2,1,5,2,1,NA,1200,330,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,1111,3,2004,22,31613,29553,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,2060,2,2,NA,2,1,1,1,1,1,1,1,4,1000,3,NA,1,1,2,2,2,1,6,2,1,501,500,721.3,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,1115,4,2004,29,31304,27516,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,3788,NA,2,2,1,1,1,1,1,2,1,1,5,1750,3,NA,2,2,2,2,4,1,6,2,1,NA,550,683,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,1149,4,2004,40,21977,21944,0,0,NA,NA,NA,NA,NA,0,0,11081,0,0,0,NA,0,0,0,33,2,2,NA,2,1,1,1,1,1,1,1,4,1500,2,NA,2,2,1,2,1,2,5,2,2,NA,625,380,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2004,BE,1184,4,2004,15,66080,62190,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,89,NA,0,0,0,3890,2,2,2,1,1,1,1,1,1,1,2,1,2500,3,3,1,2,2,1,2,1,2,2,1,144.28,650,312.81,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,1195,4,2004,40,17415,16729,15,15,NA,NA,NA,NA,NA,15,0,0,0,0,0,NA,0,0,0,685,NA,2,NA,1,1,2,1,1,3,1,3,5,NA,2,NA,2,2,2,2,1,2,6,2,1,NA,500,505,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,1235,4,2004,25,34411,66507,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,5912,NA,0,0,0,-32097,2,2,NA,1,1,1,1,1,1,1,1,5,5000,3,NA,2,2,2,2,1,2,6,2,1,992,NA,1223.67,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,1241,3,2004,13,8673,5448,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,3225,NA,2,NA,2,1,1,1,1,1,1,1,6,2100,3,NA,2,2,2,2,2,2,4,2,1,NA,600,295,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,1251,4,2004,10,88,-507,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,88,NA,0,0,0,596,2,2,1,2,1,1,1,1,3,1,1,3,1500,1,NA,2,2,1,2,3,2,6,2,1,NA,650,608,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,1257,4,2004,16,27952,8707,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,19245,NA,2,NA,1,1,1,1,1,1,1,1,3,3500,1,NA,2,2,2,1,1,1,3,2,1,495,NA,645,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,1286,4,2004,13,0,-56,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,56,NA,2,2,1,1,1,1,1,3,1,1,2,1000,1,NA,2,2,2,2,2,4,6,2,2,194,NA,859.44,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2004,BE,1298,3,2004,15,6824,6167,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,6824,NA,0,0,0,657,2,2,NA,1,1,1,1,1,1,1,3,1,2750,2,NA,2,2,2,2,2,1,5,2,1,NA,300,498.88,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2004,BE,1300,4,2004,35,15639,15586,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,0,0,0,54,2,2,NA,2,1,1,1,1,1,1,1,1,1500,1,NA,2,2,2,2,1,1,6,2,1,450,625,201.95,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2004,BE,1314,4,2004,30,12917,12080,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,145,NA,0,0,0,837,2,2,NA,1,1,1,1,1,1,2,1,6,NA,2,NA,2,2,2,2,1,3,5,2,1,208.37,NA,89.5,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2004,BE,1316,4,2004,NA,17822,17810,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,2140,NA,0,0,0,12,NA,2,2,2,1,1,1,1,1,1,1,4,2000,2,NA,2,2,2,2,1,2,6,2,1,NA,600,312.81,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
