HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY081N,HY100N,HY131N,HY145N,HY170N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY081G,HY090G,HY100G,HY110G,HY120G,HY130G,HY131G,HY140G,HY170G,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH021,HH030,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HX010,HX040,HX050,HX060,HX070,HX080,HX090,HX120,HC010,HC020,HC030,HC040,HC050,HC060,HC070,HC080,HC090,HC100,HC110,HC120,HC130,HC140,HC150,HC160,DB040,NR_ITW
2012,BE,83,4,2012,29,24265,20947,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,483,NA,0,0,231,NA,3087,NA,NA,3,NA,1,1,1,1,1,1,1,1,3,3000,3,NA,2,2,2,2,3,1,5,2,1,475,NA,352,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,180,1,1,1,1,1,4,3,3,2,4,3,NA,3,NA,BE10,BE10-4
2012,BE,88,2,2012,21,35843,35807,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,36,NA,2,3,NA,1,1,1,1,1,1,1,1,2,NA,3,2,2,2,2,2,1,1,5,2,1,NA,NA,307.67,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,96,2,1,1,1,1,3,1,3,2,NA,3,3,3,NA,BE10,BE10-2
2012,BE,115,2,2012,23,12498,11927,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,43,NA,0,0,0,NA,571,NA,NA,3,3,1,1,1,1,1,1,1,1,5,1000,2,NA,1,2,2,2,2,3,4,2,1,530,NA,342.92,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,65,1,1,1,1,2,3,3,4,1,3,4,NA,3,NA,BE10,BE10-4
2012,BE,142,3,2012,NA,57885,37424,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,181,NA,0,0,2272,NA,18189,NA,3,3,NA,1,1,1,1,1,1,1,1,2,3000,1,1,2,2,1,2,1,2,4,1,1,460,NA,NA,874.01,1,1,NA,1,1,NA,NA,NA,NA,NA,2,100,1,1,1,1,1,4,4,3,2,3,2,NA,3,NA,BE10,BE10-5
2012,BE,146,2,2012,17,203,-836,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,203,0,0,0,NA,0,NA,0,0,0,NA,1039,NA,NA,1,3,1,2,1,1,1,1,1,1,5,NA,3,NA,2,2,2,2,1,2,6,2,1,295.5,NA,172.33,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,150,1,2,1,1,1,4,3,4,4,3,4,NA,3,NA,BE10,BE10-4
2012,BE,155,2,2012,22,25566,16069,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,724,NA,0,0,9497,NA,0,NA,3,3,NA,1,1,1,1,1,1,3,1,6,20000,2,NA,2,2,2,2,1,3,6,2,1,NA,NA,284.17,241.77,1,1,NA,1,1,NA,NA,NA,NA,NA,2,180,1,1,1,1,1,4,3,4,3,4,3,3,3,NA,BE10,BE10-1
2012,BE,159,2,2012,24,31197,19587,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,15944,NA,-4334,NA,3,3,3,1,1,1,1,1,1,1,1,5,3000,3,NA,2,2,2,2,1,1,6,1,1,NA,NA,598.23,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,400,1,1,1,1,1,3,2,3,1,1,4,NA,3,NA,BE10,BE10-2
2012,BE,222,4,2012,6,0,-5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,5,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,4200,1,NA,2,2,2,2,3,2,NA,2,1,NA,NA,1019.94,462.04,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,65,1,1,1,2,1,3,3,3,3,1,3,NA,3,NA,BE10,BE10-2
2012,BE,242,2,2012,34,5527,-8167,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,4535,NA,0,0,0,NA,13693,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,2500,1,NA,2,2,2,1,4,1,2,1,1,NA,NA,425.14,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,35,1,1,1,1,1,4,3,3,2,3,3,NA,3,NA,BE10,BE10-1
2012,BE,243,2,2012,24,16231,15645,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,3473,NA,0,0,0,NA,586,NA,3,3,NA,1,1,1,1,1,1,1,1,5,2000,2,NA,2,2,2,2,1,2,5,2,2,500,NA,522.39,1129.65,1,1,NA,1,1,NA,NA,NA,NA,NA,2,30,2,1,1,1,1,4,3,3,4,3,3,3,3,NA,BE10,BE10-4
2012,BE,279,2,2012,42,26626,26599,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,580,NA,0,0,0,NA,27,NA,3,3,NA,1,1,1,1,1,1,1,1,4,3500,1,NA,2,1,1,2,1,1,6,2,1,NA,NA,353.17,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,280,NA,1,1,2,1,4,3,3,3,3,3,3,3,NA,BE10,BE10-2
2012,BE,298,2,2012,13,1383,1353,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,30,NA,NA,3,NA,1,1,1,1,1,1,1,2,3,2000,1,NA,2,2,2,2,3,1,6,2,1,NA,NA,353.38,486.92,1,1,NA,1,1,NA,NA,NA,NA,NA,2,50,1,1,1,1,1,3,4,2,1,3,3,3,3,NA,BE10,BE10-3
2012,BE,301,2,2012,7,2107,-10815,1149,1149,NA,NA,NA,NA,NA,NA,NA,NA,1149,0,0,0,718,NA,239,NA,0,0,873,NA,12049,NA,3,3,NA,1,1,1,1,1,1,1,3,1,1600,3,NA,2,2,1,2,3,4,5,1,1,NA,NA,288.94,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,230,2,1,1,1,1,3,3,3,2,4,3,NA,3,NA,BE10,BE10-3
2012,BE,313,2,2012,30,29097,-25128,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,5896,NA,0,0,0,NA,54226,NA,NA,3,NA,1,1,1,1,1,3,1,3,5,2500,1,NA,1,2,2,1,2,1,5,2,1,NA,NA,577.53,1610.62,1,1,NA,1,1,NA,NA,NA,NA,NA,2,88,1,1,1,1,1,4,4,4,2,3,3,NA,3,NA,BE10,BE10-4
2012,BE,317,2,2012,16,39,-373,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,39,NA,0,0,0,NA,412,NA,NA,3,NA,2,1,1,1,1,2,3,2,2,2600,1,NA,2,2,2,2,1,1,5,2,1,NA,NA,624,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,60,1,1,1,1,1,4,2,4,3,2,2,NA,3,NA,BE10,BE10-3
2012,BE,346,1,2012,14,13963,13959,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,16,NA,0,0,0,NA,5,NA,NA,3,3,1,1,2,1,1,1,1,3,4,2000,2,NA,2,2,2,1,2,3,5,1,1,NA,NA,267.35,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,100,1,1,1,1,1,3,3,3,1,1,4,NA,3,NA,BE10,BE10-2
2012,BE,349,2,2012,6,20825,25287,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,-4463,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,5216,2,NA,2,2,2,1,3,3,6,2,2,700,NA,887.4,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,130,1,1,1,1,1,4,2,3,3,2,4,NA,3,NA,BE10,BE10-1
2012,BE,358,2,2012,42,117187,93695,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,4819,0,0,38550,NA,120,NA,0,0,0,NA,23492,NA,NA,3,3,1,1,1,1,1,1,1,1,4,2000,2,NA,2,2,2,2,1,2,6,2,1,NA,NA,862.11,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,3,3,3,3,3,NA,3,NA,BE10,BE10-2
2012,BE,368,2,2012,23,9699,10359,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,-660,NA,3,3,NA,1,1,1,1,1,1,1,1,5,3000,1,2,2,NA,2,2,2,1,5,2,1,NA,NA,459.13,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,100,1,1,1,2,1,4,3,3,2,4,3,NA,3,NA,BE10,BE10-5
2012,BE,372,2,2012,15,15437,14887,4070,4070,NA,NA,NA,NA,NA,NA,NA,NA,4070,0,0,0,0,NA,247,NA,0,0,0,NA,550,NA,3,3,NA,1,1,1,1,1,1,3,1,3,2000,1,NA,2,1,2,2,3,3,6,2,1,NA,NA,512.24,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,100,1,1,1,1,1,3,3,3,3,2,2,4,3,NA,BE10,BE10-1
2012,BE,400,2,2012,23,68466,66677,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,14,NA,0,0,1789,NA,0,NA,3,3,NA,1,1,1,1,1,1,1,1,3,2000,1,NA,1,2,1,1,1,2,6,2,1,NA,NA,350.4,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,300,1,1,1,1,1,4,4,3,4,3,2,NA,3,NA,BE10,BE10-3
2012,BE,407,3,2012,13,26185,21595,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,4589,NA,NA,3,NA,1,1,2,1,1,1,1,1,1,2500,3,NA,2,2,2,2,1,2,6,2,1,NA,NA,391.75,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,250,1,1,1,1,2,4,2,2,2,4,3,NA,3,NA,BE10,BE10-3
2012,BE,410,2,2012,18,53361,61703,14457,14457,NA,NA,NA,NA,NA,NA,NA,NA,14457,0,0,0,0,NA,665,NA,0,0,0,NA,-8342,NA,NA,3,NA,1,1,1,1,1,3,1,1,6,2000,1,NA,2,2,1,2,1,1,6,NA,1,NA,NA,117,592.56,1,1,NA,1,1,NA,NA,NA,NA,NA,2,130,1,1,1,1,1,4,3,4,4,4,2,NA,2,NA,BE10,BE10-5
2012,BE,412,2,2012,9,28902,27556,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5072,NA,0,NA,0,0,0,NA,1346,NA,3,3,NA,1,1,1,1,1,1,3,1,1,1600,3,NA,2,2,2,2,NA,2,6,2,1,NA,NA,514.95,295.3,1,1,NA,1,1,NA,NA,NA,NA,NA,2,200,1,1,1,1,1,4,3,3,2,4,3,4,3,NA,BE10,BE10-4
2012,BE,435,2,2012,19,150968,149523,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,216,NA,0,NA,0,0,0,NA,1444,NA,3,3,NA,2,1,1,1,1,3,1,2,5,1200,3,NA,2,2,1,2,2,4,6,2,1,NA,NA,183.02,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,90,1,1,1,1,1,3,3,3,1,3,3,4,3,NA,BE10,BE10-4
2012,BE,503,1,2012,37,15662,13227,553,553,NA,NA,NA,NA,NA,NA,NA,NA,553,0,0,0,0,NA,15,NA,0,0,0,NA,2435,NA,3,3,NA,1,1,1,1,1,1,1,1,4,1250,1,3,1,2,2,1,2,2,4,2,1,400,NA,631.45,481.84,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,1,1,2,1,1,3,3,3,3,4,4,4,3,NA,BE10,BE10-4
2012,BE,517,2,2012,36,34998,38018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,84,NA,0,0,0,NA,-3019,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,3000,3,3,2,2,2,2,3,2,5,2,1,NA,NA,753.62,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,120,1,1,1,1,1,3,3,3,2,3,3,4,3,NA,BE10,BE10-4
2012,BE,530,2,2012,11,22199,13103,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,9096,NA,NA,3,NA,1,1,1,1,1,1,1,1,5,4000,2,NA,2,NA,2,2,2,1,6,2,1,NA,NA,353.17,599.55,1,1,NA,1,1,NA,NA,NA,NA,NA,2,200,1,1,NA,2,1,3,3,3,3,3,3,NA,3,NA,BE10,BE10-4
2012,BE,542,2,2012,23,27881,27174,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,5710,NA,0,0,0,NA,706,NA,NA,3,3,1,1,1,1,1,3,1,1,4,2000,1,NA,2,2,2,2,2,1,6,2,1,550,NA,637.58,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,75,1,1,2,1,1,4,3,1,2,3,3,2,3,NA,BE10,BE10-5
2012,BE,554,3,2012,31,52483,43251,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,198,NA,0,0,9232,NA,0,NA,NA,3,NA,1,1,1,1,1,1,1,1,6,2000,2,NA,2,2,2,2,1,1,5,2,1,NA,NA,2047.83,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,140,1,1,1,1,1,4,4,4,2,3,3,3,3,NA,BE10,BE10-3
2012,BE,579,2,2012,11,137301,146324,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,102035,NA,0,0,0,NA,-9023,NA,NA,3,NA,1,1,1,1,1,1,1,1,6,2000,2,NA,NA,2,2,2,1,1,6,2,1,NA,NA,445.67,64.08,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,140,1,2,1,1,1,3,3,3,3,3,3,3,3,NA,BE10,BE10-2
2012,BE,583,1,2012,10,18190,18133,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,36,NA,0,0,0,NA,56,NA,3,3,3,1,1,2,1,1,1,1,2,3,NA,3,NA,2,2,2,2,1,4,6,2,1,NA,NA,537.9,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,140,1,1,1,1,1,4,4,3,3,4,3,3,3,NA,BE10,BE10-2
2012,BE,587,2,2012,16,13854,13849,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,5,NA,0,0,0,NA,5,NA,3,3,NA,1,1,1,1,1,1,1,1,4,2200,3,NA,2,2,2,2,2,2,5,NA,1,NA,NA,384,438.37,1,1,NA,1,1,NA,NA,NA,NA,NA,2,120,1,1,1,1,1,3,3,4,4,4,3,4,3,NA,BE10,BE10-2
2012,BE,591,2,2012,10,98597,98482,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,13941,NA,0,NA,0,0,0,NA,115,NA,3,3,3,1,1,1,1,1,1,1,1,3,2000,2,NA,2,2,2,2,2,2,6,2,1,NA,NA,875.38,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,300,1,1,2,1,1,3,2,4,2,4,3,NA,3,NA,BE10,BE10-2
2012,BE,594,2,2012,19,6332,6307,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,29,NA,0,0,0,NA,24,NA,3,3,NA,1,1,2,1,1,3,1,1,5,1200,3,NA,2,2,2,2,1,2,4,2,1,NA,NA,887.12,206.27,1,1,NA,1,1,NA,NA,NA,NA,NA,2,140,1,2,1,1,1,3,3,3,3,4,1,NA,3,NA,BE10,BE10-3
2012,BE,635,2,2012,39,13042,13023,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,2,NA,17,NA,NA,3,NA,2,1,2,1,1,1,3,1,1,750,1,1,2,1,2,2,2,1,4,NA,1,NA,NA,508.65,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,110,1,1,1,1,1,4,3,3,4,2,3,NA,3,NA,BE10,BE10-1
2012,BE,647,1,2012,12,18546,18465,2943,2943,NA,NA,NA,NA,NA,NA,NA,NA,2943,0,0,0,0,NA,303,NA,0,0,0,NA,81,NA,3,3,3,2,1,2,1,1,1,1,1,3,1800,2,NA,2,2,2,2,3,4,6,2,1,NA,NA,220,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,25,1,1,2,1,1,3,3,4,3,1,3,NA,3,NA,BE10,BE10-3
2012,BE,652,1,2012,14,13966,11755,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,19,NA,0,0,0,NA,2211,NA,NA,3,NA,1,1,1,1,1,3,1,1,6,1450,1,1,1,2,1,2,2,2,4,2,1,324,NA,361.17,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,90,2,1,1,1,1,4,4,3,2,4,4,4,3,NA,BE10,BE10-1
2012,BE,658,1,2012,19,13845,13781,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1031,NA,0,NA,0,0,64,NA,0,NA,NA,3,NA,2,1,1,1,1,1,1,3,5,3000,NA,2,2,2,2,2,2,1,4,2,1,324,NA,260.98,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,90,1,1,1,2,1,4,2,3,4,3,3,NA,3,NA,BE10,BE10-2
2012,BE,663,2,2012,18,123605,122948,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,16430,NA,0,0,0,NA,657,NA,NA,3,NA,1,1,1,1,1,1,1,1,6,NA,3,NA,2,2,2,2,3,1,5,2,1,NA,NA,367.01,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,350,1,1,1,1,1,4,4,4,3,4,3,NA,3,NA,BE10,BE10-4
2012,BE,703,2,2012,12,38251,32174,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1612,NA,0,0,6077,NA,0,NA,NA,3,NA,2,1,1,1,1,2,1,1,6,2500,1,NA,2,2,1,1,1,1,5,2,1,NA,NA,367.01,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,88,1,1,1,1,1,4,4,4,3,3,4,NA,3,NA,BE10,BE10-2
2012,BE,709,2,2012,38,23852,23964,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,-112,NA,NA,3,3,1,1,1,1,1,3,1,1,4,NA,1,NA,1,2,2,2,3,1,6,2,1,NA,NA,499.23,229.53,1,1,NA,1,1,NA,NA,NA,NA,NA,2,140,1,1,1,2,1,3,4,2,4,2,4,3,3,NA,BE10,BE10-2
2012,BE,747,2,2012,22,19413,19182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1056,NA,0,NA,0,0,0,NA,231,NA,NA,3,NA,1,1,2,1,1,1,1,1,4,1000,2,NA,2,1,2,2,4,3,4,2,1,410,NA,373.77,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,120,1,1,1,1,2,3,3,3,4,4,4,NA,3,NA,BE10,BE10-4
2012,BE,752,1,2012,17,19331,19173,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,159,NA,0,NA,2,3,NA,1,1,1,1,1,1,1,1,3,3500,3,NA,2,2,1,2,2,1,6,2,1,NA,NA,864.91,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,140,1,1,1,1,1,4,3,1,4,3,3,4,3,NA,BE10,BE10-5
2012,BE,769,2,2012,21,16743,8812,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,607,NA,0,0,1112,NA,6818,NA,3,3,NA,1,2,2,1,1,1,1,1,2,3500,3,2,2,1,2,2,2,1,4,1,2,NA,NA,929.8,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,70,1,1,1,1,1,4,3,3,3,3,4,NA,3,NA,BE10,BE10-4
2012,BE,808,2,2012,45,31776,31748,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7273,NA,0,NA,0,0,0,NA,28,NA,3,3,NA,2,1,2,1,1,3,1,1,1,1600,1,3,2,2,1,2,1,1,3,2,1,340,NA,462.11,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,180,1,1,1,1,2,3,3,3,2,3,3,NA,3,NA,BE10,BE10-4
2012,BE,813,2,2012,14,41595,41447,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,3,NA,0,0,0,NA,148,NA,3,3,NA,1,1,2,1,1,1,1,2,1,3000,3,NA,1,2,2,2,1,2,6,2,1,NA,NA,363,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,110,1,1,1,1,1,4,3,2,3,4,4,4,3,NA,BE10,BE10-2
2012,BE,818,1,2012,38,43197,34628,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1786,NA,0,0,0,NA,8569,NA,NA,3,NA,1,1,1,1,1,1,1,2,2,2500,1,NA,2,2,2,1,2,2,5,2,1,NA,NA,428.62,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,200,1,1,1,1,1,3,3,1,1,3,3,2,3,NA,BE10,BE10-1
2012,BE,844,2,2012,10,12924,10652,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,28,NA,0,0,0,NA,2272,NA,3,3,3,1,1,1,1,1,1,1,1,4,1400,3,NA,2,2,2,2,1,3,5,2,1,661,NA,311.67,296.57,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,200,1,1,1,1,1,4,3,3,3,3,3,NA,3,NA,BE10,BE10-4
2012,BE,858,2,2012,15,17642,18347,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,-705,NA,3,3,NA,1,1,1,1,1,3,1,1,2,1500,3,1,2,2,2,2,2,3,6,1,1,NA,NA,403.39,1955.62,1,1,NA,1,1,NA,NA,NA,NA,NA,2,160,1,1,2,2,1,4,3,4,3,3,3,NA,2,NA,BE10,BE10-2
2012,BE,860,2,2012,24,35648,32385,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,3263,NA,NA,3,NA,2,1,1,1,1,3,1,1,2,1950,1,NA,2,1,1,1,3,2,4,2,1,NA,NA,318,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,2,80,1,1,1,1,1,4,3,3,4,3,2,NA,3,NA,BE10,BE10-4
