PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX010,PX020,PX030,PX040,PX050,PC170,PC180,DB040,NR_ITW
2012,RO,1971,943.655589123867,NA,2,2012,15,3,1966,2,2,3,RO,2,NA,3,1,NA,NA,NA,NA,3,5,40,NA,g,NA,6,1,2,2,NA,NA,20,2,1,3,2,1,2,NA,0,0,2488,0,0,0,0,0,370,0,0,0,0,0,0,0,1,4.2391,45,197,1,2,2,NA,RO11,RO11-5
2012,RO,2041,943.655589123867,NA,2,2012,20,4,1954,1,2,3,RO,2,NA,5,1,NA,NA,NA,NA,3,2,40,NA,k,NA,NA,1,2,2,NA,NA,21,1,1,3,2,1,2,1,0,0,6944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,57,204,1,6,2,NA,RO11,RO11-1
2012,RO,2491,943.655589123867,NA,2,2012,25,4,1985,2,1,3,RO,2,NA,5,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,19,2,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1,4.2391,26,249,1,6,2,NA,RO11,RO11-5
2012,RO,2621,943.655589123867,NA,2,2012,20,1,1993,2,1,3,RO,2,NA,2,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,2,3,1,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,18,262,1,2,2,NA,RO11,RO11-4
2012,RO,2751,943.655589123867,NA,2,2012,10,1,1937,2,2,3,RO,2,NA,4,7,NA,1,NA,NA,NA,8,35,NA,NA,NA,2,2,2,NA,NA,NA,20,4,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,0,1,4.2391,74,275,1,6,2,1,RO11,RO11-5
2012,RO,2771,943.655589123867,NA,2,2012,15,3,1941,2,4,3,RO,2,NA,2,7,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,1,4.2391,70,277,1,2,2,NA,RO11,RO11-3
2012,RO,3141,943.655589123867,NA,2,2012,10,3,1945,2,2,3,RO,2,NA,3,7,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,19,2,2,3,1,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1697,0,0,0,0,1,4.2391,66,314,1,6,2,NA,RO11,RO11-3
2012,RO,3371,943.655589123867,NA,2,2012,27,4,1943,2,4,3,RO,2,NA,NA,7,NA,NA,2,NA,2,6,30,NA,NA,NA,NA,1,2,2,NA,NA,17,3,1,3,2,NA,2,1,0,0,0,0,0,0,0,0,613,0,0,0,1620,0,0,0,1,4.2391,68,337,1,6,2,NA,RO11,RO11-2
2012,RO,3901,943.655589123867,NA,2,2012,28,1,1954,2,2,3,RO,2,NA,3,7,NA,NA,NA,NA,3,5,40,NA,NA,NA,13,1,2,2,NA,NA,25,4,2,3,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,2428,0,0,0,0,1,4.2391,57,390,1,3,2,NA,RO11,RO11-3
2012,RO,3931,943.655589123867,NA,2,2012,20,3,1962,2,4,3,RO,1,3,2,5,NA,1,2,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,49,393,1,2,2,NA,RO11,RO11-3
2012,RO,4251,943.655589123867,NA,2,2012,30,2,1949,2,2,3,RO,2,NA,2,3,NA,NA,NA,NA,3,6,40,NA,a,NA,15,NA,NA,2,NA,NA,17,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,4618,0,0,0,0,0,0,0,1,4.2391,62,425,1,3,2,NA,RO11,RO11-2
2012,RO,4271,943.655589123867,NA,2,2012,20,3,1934,2,4,3,RO,2,NA,1,7,NA,NA,NA,NA,3,6,40,NA,NA,NA,12,1,2,NA,NA,NA,19,1,2,3,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,2818,0,0,0,0,1,4.2391,77,427,1,7,1,NA,RO11,RO11-3
2012,RO,4831,943.655589123867,NA,2,2012,20,1,1931,2,4,3,RO,2,NA,1,7,NA,NA,2,NA,3,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,19,4,1,1,2,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,1,4.2391,80,483,1,2,2,NA,RO11,RO11-2
2012,RO,5161,943.655589123867,NA,2,2012,10,4,1932,1,2,3,RO,2,NA,3,7,NA,1,2,NA,3,8,40,NA,NA,NA,13,NA,2,2,NA,NA,22,2,1,3,2,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,2547,0,0,0,0,1,4.2391,79,516,1,6,2,NA,RO11,RO11-1
2012,RO,5291,943.655589123867,NA,2,2012,10,1,1931,2,2,3,RO,2,NA,2,7,NA,NA,NA,NA,4,9,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,2,1,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,1,4.2391,80,529,1,6,2,NA,RO11,RO11-3
2012,RO,5511,943.655589123867,NA,2,2012,15,3,1931,2,4,3,RO,2,NA,2,7,NA,1,NA,NA,2,9,NA,NA,NA,NA,13,1,2,NA,NA,NA,18,3,1,2,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,0,0,1,4.2391,80,551,1,6,2,NA,RO11,RO11-2
2012,RO,6031,943.655589123867,NA,2,2012,10,1,1940,2,4,3,RO,2,NA,1,7,NA,1,NA,NA,2,9,40,NA,NA,NA,5,NA,NA,NA,NA,NA,19,5,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,958,39,0,0,0,1,4.2391,71,603,1,6,2,NA,RO11,RO11-5
2012,RO,6181,943.655589123867,NA,2,2012,9,2,1931,2,2,3,RO,2,NA,3,7,NA,1,NA,NA,2,4,50,NA,NA,NA,NA,NA,2,2,NA,NA,15,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,1,4.2391,80,618,1,2,2,NA,RO11,RO11-1
2012,RO,6361,943.655589123867,NA,2,2012,10,4,1933,1,2,3,RO,2,NA,3,7,NA,NA,NA,NA,3,7,40,NA,NA,NA,11,1,2,NA,NA,NA,20,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2790,0,0,0,0,1,4.2391,78,636,1,6,2,NA,RO11,RO11-2
2012,RO,6461,943.655589123867,NA,2,2012,20,4,1956,2,2,3,RO,2,NA,3,1,NA,NA,NA,NA,3,4,48,NA,h,NA,11,1,2,2,NA,NA,19,1,2,3,2,NA,2,1,0,0,3384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,55,646,1,2,2,NA,RO11,RO11-2
2012,RO,6541,943.655589123867,NA,2,2012,15,1,1931,2,4,3,RO,2,NA,4,7,NA,2,2,NA,2,4,NA,NA,NA,NA,2,NA,NA,2,NA,NA,19,4,2,1,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,0,0,1,4.2391,80,654,1,7,2,NA,RO11,RO11-3
2012,RO,7131,943.655589123867,NA,2,2012,9,3,1965,1,2,3,RO,2,NA,3,1,NA,NA,NA,NA,3,0 - 1,40,NA,i,NA,13,1,2,NA,NA,NA,25,2,2,3,2,NA,2,1,0,0,4843,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,46,713,1,2,2,NA,RO11,RO11-4
2012,RO,7181,943.655589123867,NA,2,2012,15,2,1937,1,2,3,RO,2,NA,5,7,NA,NA,NA,NA,3,2,40,NA,NA,NA,2,1,2,NA,NA,NA,23,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2542,0,0,0,0,1,4.2391,74,718,1,2,2,NA,RO11,RO11-5
2012,RO,7241,943.655589123867,NA,2,2012,15,4,1931,2,4,3,RO,2,NA,1,7,NA,NA,NA,NA,2,9,NA,NA,NA,NA,13,1,NA,2,NA,4,26,3,1,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,1,4.2391,80,724,1,6,2,NA,RO11,RO11-3
2012,RO,7271,943.655589123867,NA,2,2012,18,2,1958,2,2,3,RO,2,NA,2,4,NA,NA,2,NA,2,6,40,NA,a,NA,2,NA,2,2,NA,NA,14,2,2,3,2,1,2,NA,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,1,4.2391,53,727,1,2,2,NA,RO11,RO11-3
2012,RO,7691,943.655589123867,NA,2,2012,30,1,1937,2,4,3,RO,2,NA,4,7,NA,1,2,NA,2,5,40,NA,NA,NA,NA,1,2,2,NA,NA,18,3,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,1,4.2391,74,769,1,2,2,NA,RO11,RO11-5
2012,RO,7921,943.655589123867,NA,2,2012,10,3,1931,1,1,3,RO,2,NA,1,7,NA,NA,NA,NA,3,9,40,NA,NA,NA,NA,1,NA,2,NA,NA,21,2,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,1,4.2391,80,792,1,2,2,NA,RO11,RO11-2
2012,RO,8881,943.655589123867,NA,2,2012,33,1,1939,2,4,3,RO,2,NA,3,7,NA,NA,NA,NA,3,2,40,NA,NA,NA,13,1,2,NA,NA,NA,16,2,2,3,2,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,2348,0,0,0,0,1,4.2391,72,888,1,2,2,NA,RO11,RO11-3
2012,RO,9081,943.655589123867,NA,2,2012,24,3,1933,2,4,3,RO,2,NA,1,7,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,18,1,1,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,1,4.2391,78,908,1,2,2,NA,RO11,RO11-4
2012,RO,9221,943.655589123867,NA,2,2012,24,3,1940,2,4,2,RO,1,NA,2,11,NA,2,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,2,3,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,71,922,1,2,2,NA,RO11,RO11-4
2012,RO,9391,943.655589123867,NA,2,2012,25,1,1935,2,2,3,RO,2,3,1,10,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,76,939,1,3,2,NA,RO11,RO11-4
2012,RO,9461,943.655589123867,NA,2,2012,16,3,1964,1,2,3,RO,2,NA,3,3,NA,1,2,NA,3,6,40,NA,a,NA,NA,1,2,NA,NA,NA,18,2,2,3,2,1,2,NA,0,0,0,0,0,0,0,0,2351,0,0,0,0,0,0,0,1,4.2391,47,946,1,3,2,NA,RO11,RO11-2
2012,RO,9901,943.655589123867,NA,2,2012,20,4,1959,2,2,3,RO,2,3,2,10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,3,2,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,52,990,1,3,2,NA,RO11,RO11-5
2012,RO,10121,943.655589123867,NA,2,2012,20,2,1950,2,4,3,RO,2,NA,3,7,NA,NA,2,NA,3,8,NA,NA,NA,NA,NA,1,2,NA,NA,NA,20,2,1,3,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1852,0,0,0,0,1,4.2391,61,1012,1,NA,2,NA,RO11,RO11-5
2012,RO,10341,943.655589123867,NA,2,2012,20,4,1958,2,2,3,RO,2,NA,3,1,NA,NA,NA,NA,3,4,30,NA,g,NA,11,1,2,2,NA,NA,17,1,1,2,1,NA,2,1,0,0,3579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,53,1034,1,7,2,NA,RO11,RO11-5
2012,RO,10371,943.655589123867,NA,2,2012,15,2,1931,2,4,3,RO,2,NA,2,7,NA,NA,NA,NA,3,6,40,NA,NA,NA,NA,1,2,2,NA,NA,20,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,0,0,1,4.2391,80,1037,1,7,2,NA,RO11,RO11-3
2012,RO,10381,943.655589123867,NA,2,2012,10,4,1947,1,2,3,RO,2,NA,2,3,NA,NA,NA,NA,3,6,NA,NA,a,NA,NA,1,NA,2,NA,NA,21,2,2,2,1,NA,2,NA,0,0,0,0,0,0,0,0,186,0,0,2382,0,0,0,0,1,4.2391,64,1038,1,6,2,NA,RO11,RO11-5
2012,RO,10421,943.655589123867,NA,2,2012,25,2,1972,1,5,3,RO,2,NA,2,1,NA,NA,NA,NA,3,9,40,NA,f,NA,12,1,2,NA,NA,NA,23,2,2,3,2,NA,2,NA,0,0,5385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,39,1042,1,3,2,NA,RO11,RO11-2
2012,RO,10871,943.655589123867,NA,2,2012,15,4,1939,1,2,3,RO,2,NA,5,7,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,22,2,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1346,0,0,0,0,1,4.2391,72,1087,1,2,2,NA,RO11,RO11-4
2012,RO,11141,943.655589123867,NA,2,2012,15,1,1950,1,2,3,RO,2,NA,3,7,NA,1,NA,NA,3,2,40,NA,NA,3,NA,NA,NA,2,NA,NA,26,3,2,1,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2131,0,0,0,0,1,4.2391,61,1114,1,6,2,NA,RO11,RO11-2
2012,RO,11561,943.655589123867,NA,2,2012,20,4,1931,2,4,3,RO,2,NA,1,7,NA,NA,NA,NA,4,6,40,NA,NA,NA,14,NA,NA,2,NA,NA,18,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,1,4.2391,80,1156,1,6,2,NA,RO11,RO11-2
2012,RO,11621,943.655589123867,NA,2,2012,30,2,1963,2,5,3,RO,2,5,3,10,NA,2,2,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,48,1162,1,7,2,NA,RO11,RO11-5
2012,RO,11671,943.655589123867,NA,2,2012,24,4,1968,1,1,3,RO,2,NA,5,1,NA,1,NA,NA,3,5,NA,NA,h,NA,11,1,2,2,NA,NA,18,2,2,3,2,NA,2,NA,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,43,1167,1,6,2,NA,RO11,RO11-2
2012,RO,11851,943.655589123867,NA,2,2012,30,4,1947,2,5,3,RO,2,NA,3,7,NA,NA,2,NA,3,5,40,NA,NA,NA,13,1,2,2,NA,NA,20,2,2,2,2,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,3445,0,0,0,0,1,4.2391,64,1185,1,6,2,NA,RO11,RO11-2
2012,RO,12231,943.655589123867,NA,2,2012,10,2,1931,2,2,2,RO,2,NA,2,7,NA,NA,NA,NA,3,8,40,NA,NA,NA,NA,1,2,NA,NA,NA,25,4,1,3,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,1,4.2391,80,1223,1,7,2,NA,RO11,RO11-4
2012,RO,12521,943.655589123867,NA,2,2012,15,4,1957,2,5,3,RO,2,NA,2,7,NA,1,2,NA,3,7,NA,NA,NA,NA,NA,1,2,NA,NA,NA,25,1,2,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,176,1,4.2391,54,1252,1,2,2,NA,RO11,RO11-1
2012,RO,12541,943.655589123867,NA,2,2012,22,3,1934,2,4,3,RO,2,NA,3,7,NA,1,2,NA,2,2,NA,NA,NA,NA,NA,1,2,2,NA,NA,19,4,1,2,2,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,1,4.2391,77,1254,1,7,2,NA,RO11,RO11-3
2012,RO,13091,943.655589123867,NA,2,2012,15,4,1931,1,4,3,RO,2,NA,2,7,NA,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,16,1,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,1,4.2391,80,1309,1,2,2,NA,RO11,RO11-2
2012,RO,13151,943.655589123867,NA,2,2012,20,3,1931,2,4,3,RO,2,NA,1,7,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,1,4.2391,80,1315,1,6,2,NA,RO11,RO11-4
2012,RO,13481,943.655589123867,NA,2,2012,15,3,1983,2,1,3,RO,2,NA,6,1,NA,NA,2,NA,3,2,35,NA,b-e,NA,13,1,1,NA,NA,NA,28,2,2,3,2,NA,2,NA,0,0,8755,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,28,1348,1,6,2,NA,RO11,RO11-4
2012,RO,14221,943.655589123867,NA,2,2012,20,1,1932,2,4,3,RO,2,NA,3,7,NA,NA,NA,NA,3,5,40,NA,NA,NA,NA,1,1,NA,NA,NA,20,2,1,2,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,1,4.2391,79,1422,1,3,2,NA,RO11,RO11-4
2012,RO,14381,943.655589123867,NA,2,2012,30,3,1947,2,2,3,RO,2,NA,2,3,NA,NA,NA,NA,3,6,NA,NA,a,NA,11,1,2,2,NA,NA,18,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,3527,0,0,0,0,0,0,0,1,4.2391,64,1438,1,7,2,NA,RO11,RO11-2
2012,RO,14391,943.655589123867,NA,2,2012,20,2,1936,2,4,3,RO,2,NA,1,7,NA,1,2,NA,3,6,40,NA,NA,NA,13,1,2,2,NA,NA,20,2,2,3,2,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,4387,0,0,0,0,1,4.2391,75,1439,1,3,2,NA,RO11,RO11-1
2012,RO,14891,943.655589123867,NA,2,2012,10,3,1932,2,4,3,RO,2,NA,2,7,NA,1,2,NA,3,5,48,NA,NA,NA,12,1,2,NA,NA,NA,23,4,2,3,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1572,0,0,0,0,1,4.2391,79,1489,1,5,2,NA,RO11,RO11-3
2012,RO,14951,943.655589123867,NA,2,2012,35,2,1940,2,2,3,RO,2,NA,5,7,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,2,NA,NA,11,NA,2,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,1,4.2391,71,1495,1,2,2,NA,RO11,RO11-3
2012,RO,15041,943.655589123867,NA,2,2012,15,4,1954,2,4,3,RO,2,NA,3,7,NA,1,2,NA,3,9,50,NA,NA,NA,NA,1,NA,NA,NA,NA,18,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,1442,0,0,0,0,1,4.2391,57,1504,1,2,2,NA,RO11,RO11-5
2012,RO,15051,943.655589123867,NA,2,2012,12,4,1946,2,2,3,RO,2,NA,2,3,NA,2,2,NA,NA,6,NA,NA,a,NA,NA,NA,NA,NA,NA,NA,20,2,2,3,2,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,65,1505,1,6,2,NA,RO11,RO11-4
2012,RO,15751,943.655589123867,NA,2,2012,22,3,1942,1,2,3,RO,2,NA,3,7,NA,1,2,NA,3,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,23,1,1,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,0,1,4.2391,69,1575,1,2,2,NA,RO11,RO11-2
2012,RO,15781,943.655589123867,NA,2,2012,10,2,1947,1,3,3,RO,2,NA,3,7,NA,NA,NA,NA,3,7,40,NA,NA,NA,NA,1,2,2,NA,NA,24,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,4979,0,0,0,0,1,4.2391,64,1578,1,2,2,NA,RO11,RO11-2
2012,RO,15991,943.655589123867,NA,2,2012,18,1,1965,1,2,3,RO,2,NA,3,1,NA,NA,NA,NA,2,0 - 1,NA,NA,i,NA,11,1,1,2,NA,NA,25,2,2,3,2,NA,1,NA,0,0,4205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,46,1599,1,7,2,NA,RO11,RO11-5
2012,RO,16041,943.655589123867,NA,2,2012,20,1,1940,2,4,3,RO,2,NA,1,4,NA,1,NA,NA,3,6,NA,NA,a,NA,12,1,2,2,NA,NA,20,3,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,2417,0,0,0,0,1,4.2391,71,1604,1,5,2,NA,RO11,RO11-1
2012,RO,16061,943.655589123867,NA,2,2012,12,3,1953,1,2,3,RO,2,NA,3,7,NA,NA,2,NA,4,7,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,2,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,1,4.2391,58,1606,1,5,2,NA,RO11,RO11-2
2012,RO,16281,943.655589123867,NA,2,2012,16,4,1946,2,4,3,RO,2,NA,3,7,NA,2,2,NA,2,3,NA,NA,NA,NA,NA,1,2,2,NA,NA,20,2,1,3,2,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,1633,0,0,0,0,1,4.2391,65,1628,1,7,2,NA,RO11,RO11-2
2012,RO,16451,943.655589123867,NA,2,2012,20,4,1940,2,2,3,RO,1,NA,2,7,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,1,2,2,NA,NA,28,1,1,3,2,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,8386,0,0,0,0,1,4.2391,71,1645,1,6,2,NA,RO11,RO11-3
2012,RO,16551,943.655589123867,NA,2,2012,15,3,1962,2,4,3,RO,2,NA,3,1,NA,NA,NA,NA,3,2,NA,NA,p,NA,13,NA,NA,2,NA,NA,24,1,2,2,2,NA,2,NA,0,0,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2391,49,1655,1,2,2,NA,RO11,RO11-3
