PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL030,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL070,PL072,PL100,PL110,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY070N,PY010G,PY020G,PY035G,PY050G,PY070G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX030,PX040,PX020,PX050,PX010,DB040,NR_ITW
2004,BE,751,677.291381668947,NA,4,2004,15,4,1962,1,1,1,Other,2,5,3,9,NA,1,NA,NA,NA,9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7,8,8,8,7,7,8,8,8,7,7,8,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,75,1,41,4,1,BE10,BE10-3
2004,BE,1041,677.291381668947,NA,4,2004,12,4,1939,2,2,3,BE,2,NA,1,5,NA,NA,2,NA,3,9,47,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,22,6,6,6,NA,2,2,2,6,1,1,1,6,2,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,16716,0,0,0,0,413,104,1,64,2,1,BE10,BE10-1
2004,BE,1291,677.291381668947,NA,3,2004,10,3,1937,2,4,1,BE,1,NA,5,9,NA,2,NA,NA,NA,5,NA,0,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,8,8,7,7,8,7,8,7,7,7,7,8,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,677,129,1,66,4,1,BE10,BE10-3
2004,BE,1451,677.291381668947,NA,4,2004,7,4,1975,1,1,1,BE,2,NA,5,1,1,NA,NA,NA,2,5,40,12,0,NA,g,NA,13,NA,1,2,NA,NA,16,6,3,6,1,1,3,1,1,1,1,2,1,1,2,2,2,NA,2,NA,0,0,1,30232,0,0,0,1,0,0,0,0,0,0,0,1300,145,1,28,1,1,BE10,BE10-5
2004,BE,2021,677.291381668947,NA,4,2004,20,3,1923,2,4,1,Other,2,NA,1,5,1,1,2,NA,2,NA,35,6,12,NA,NA,NA,NA,NA,1,NA,NA,NA,23,2,5,2,2,2,1,5,1,6,1,6,1,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,14187,0,0,0,0,1300,202,1,80,4,1,BE10,BE10-2
2004,BE,2201,677.291381668947,NA,4,2004,13,2,1975,2,1,NA,Other,2,NA,5,4,NA,1,NA,NA,3,4,NA,0,0,NA,NA,NA,15,NA,NA,2,NA,NA,30,7,3,5,6,6,1,1,6,6,1,5,6,3,1,1,2,NA,2,NA,0,0,1,3886,0,0,0,1,0,0,0,0,0,0,0,619,220,1,28,4,1,BE10,BE10-5
2004,BE,2211,677.291381668947,NA,4,2004,17,4,1952,2,5,NA,BE,2,NA,5,1,NA,1,NA,NA,3,3,36,12,0,NA,l-n,NA,NA,1,1,2,NA,NA,16,1,1,1,1,1,1,1,1,6,1,6,1,2,2,3,2,NA,2,NA,0,0,1,30196,0,0,0,1,0,0,0,0,0,0,0,1300,221,1,51,4,1,BE10,BE10-2
2004,BE,2541,677.291381668947,NA,4,2004,7,2,1978,2,1,1,BE,2,NA,5,1,1,NA,NA,NA,3,4,75,12,0,NA,b-e,NA,10,1,2,2,NA,NA,19,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,32985,882,0,0,1,0,0,0,0,0,0,0,1300,254,1,25,2,1,BE10,BE10-4
2004,BE,2721,677.291381668947,NA,3,2004,15,1,1972,2,2,3,Other,2,NA,2,1,1,1,NA,NA,1,4,38,12,0,NA,i,NA,NA,NA,2,2,NA,NA,16,1,1,NA,2,1,1,1,6,2,6,2,1,1,2,3,2,NA,2,NA,0,0,1,28290,0,0,0,1,0,0,0,0,0,0,0,227,272,1,31,1,1,BE10,BE10-4
2004,BE,2741,677.291381668947,NA,4,2004,14,4,1952,1,5,3,EU,1,NA,1,1,1,NA,NA,NA,3,5,65,12,12,NA,k,NA,NA,1,2,2,NA,NA,23,3,1,3,1,1,1,1,1,1,NA,3,1,4,2,3,2,NA,2,NA,0,0,1,86520,0,0,0,1,0,0,0,0,0,0,0,1300,274,1,51,1,1,BE10,BE10-5
2004,BE,2841,677.291381668947,NA,4,2004,22,2,1923,2,4,1,EU,1,NA,3,5,NA,1,NA,NA,3,2,NA,0,8,NA,NA,NA,NA,NA,NA,2,NA,NA,15,1,NA,5,7,6,8,6,2,8,6,6,5,4,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,6888,0,0,0,0,1300,284,1,80,1,1,BE10,BE10-3
2004,BE,2891,677.291381668947,NA,3,2004,10,2,1967,2,1,2,EU,2,NA,6,1,1,NA,NA,NA,3,2,38,12,0,NA,l-n,NA,2,1,1,NA,NA,NA,18,1,2,1,1,1,1,1,6,2,1,1,1,1,2,3,2,NA,2,NA,0,0,1,36516,0,0,0,1,0,0,0,0,0,0,0,1300,289,1,36,4,1,BE10,BE10-2
2004,BE,3151,677.291381668947,NA,4,2004,10,3,1942,2,2,1,BE,2,NA,5,5,NA,NA,NA,NA,3,4,50,12,0,NA,NA,NA,13,1,2,2,NA,NA,21,1,1,6,1,1,3,2,1,1,1,2,1,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,30801,0,0,0,0,1300,315,1,61,4,1,BE10,BE10-4
2004,BE,3171,677.291381668947,NA,4,2004,19,2,1956,2,2,3,BE,2,NA,2,6,NA,1,2,NA,1,9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,6,2,6,6,1,6,6,8,5,3,6,3,1,1,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,7546,0,982,317,1,47,2,1,BE10,BE10-1
2004,BE,3251,677.291381668947,NA,4,2004,10,2,1954,2,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,4,55,12,0,50,p-q,NA,13,1,1,2,NA,NA,24,1,6,1,1,1,6,6,1,1,1,1,1,2,1,3,1,NA,2,NA,0,0,1,31242,0,0,0,1,0,0,0,0,0,0,0,1300,325,1,49,1,1,BE10,BE10-5
2004,BE,3351,677.291381668947,NA,4,2004,11,2,1945,2,4,1,EU,2,NA,0,2,1,1,2,NA,3,9,NA,0,0,NA,k,NA,NA,NA,NA,NA,NA,NA,20,5,5,6,5,8,6,1,8,6,6,6,5,3,2,3,2,NA,2,NA,0,0,1,15443,0,0,0,1,0,0,0,0,0,0,1127,1300,335,1,58,1,1,BE10,BE10-2
2004,BE,3391,677.291381668947,NA,4,2004,10,1,1978,1,2,1,BE,2,NA,5,1,1,2,NA,NA,3,9,NA,0,0,NA,f,NA,NA,NA,2,NA,NA,NA,14,2,6,6,6,1,8,2,2,NA,2,8,NA,5,1,3,2,NA,2,NA,262,0,1,9116,0,0,0,1,0,2378,0,0,0,0,0,1300,339,1,25,4,1,BE10,BE10-3
2004,BE,3721,677.291381668947,NA,4,2004,11,3,1939,2,2,NA,Other,2,NA,0,8,NA,2,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,8,7,8,7,7,8,7,7,8,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,372,1,64,1,1,BE10,BE10-3
2004,BE,3761,677.291381668947,NA,4,2004,8,1,1952,1,1,1,BE,2,NA,5,1,1,1,NA,NA,3,0 - 1,39,12,0,NA,l-n,NA,NA,1,2,2,NA,NA,22,1,1,2,6,1,1,1,3,2,1,1,1,2,2,3,2,NA,2,NA,0,0,1,20293,0,0,0,1,0,0,0,0,0,0,311,965,376,1,51,1,1,BE10,BE10-2
2004,BE,3951,677.291381668947,NA,4,2004,11,1,1943,1,5,1,BE,1,NA,3,5,NA,1,1,NA,3,4,13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5,6,6,2,8,3,6,7,6,6,5,NA,1,2,1,2,NA,2,NA,0,0,1,0,0,0,0,1,0,9616,0,0,0,0,0,1300,395,1,60,1,1,BE10,BE10-2
2004,BE,4571,677.291381668947,NA,4,2004,31,3,1966,1,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,3,NA,12,0,NA,l-n,NA,11,1,2,NA,NA,NA,22,1,6,2,1,1,2,2,2,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,25201,0,0,0,1,0,0,0,0,0,0,0,1300,457,1,37,3,1,BE10,BE10-3
2004,BE,4701,677.291381668947,NA,3,2004,12,1,1975,1,1,1,BE,1,NA,2,1,NA,1,NA,NA,3,9,38,0,0,NA,b-e,NA,2,1,NA,2,NA,NA,19,2,6,6,2,1,2,1,1,6,6,5,6,2,2,1,2,NA,2,NA,0,0,1,24496,0,0,0,1,0,0,0,0,0,0,0,1245,470,1,28,1,1,BE10,BE10-1
2004,BE,4951,677.291381668947,NA,4,2004,5,4,1938,2,5,1,BE,2,NA,1,1,1,NA,NA,NA,3,9,50,0,0,NA,b-e,NA,13,1,2,2,NA,NA,21,1,2,1,1,1,1,1,1,1,1,NA,1,2,2,3,2,NA,2,NA,0,0,1,39196,0,0,0,1,0,0,0,0,0,0,0,1300,495,1,65,2,1,BE10,BE10-3
2004,BE,5281,677.291381668947,NA,4,2004,12,3,1967,1,2,NA,Other,2,NA,2,1,1,NA,2,NA,3,7,50,12,0,NA,f,NA,11,NA,1,1,NA,NA,19,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,50904,0,0,0,1,0,0,0,0,0,0,0,959,528,1,36,4,1,BE10,BE10-2
2004,BE,5291,677.291381668947,NA,4,2004,19,1,1962,1,5,1,Other,2,NA,1,1,NA,1,NA,NA,2,5,28,0,0,NA,h,NA,12,NA,2,NA,NA,NA,16,1,3,8,1,1,6,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,19195,0,0,0,1,0,0,0,0,0,0,0,245,529,1,41,3,1,BE10,BE10-2
2004,BE,5331,677.291381668947,NA,4,2004,20,1,1924,2,4,3,BE,2,NA,0,5,NA,1,2,NA,3,9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,6,2,5,2,2,1,2,2,2,6,2,5,3,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,12812,0,0,0,0,1300,533,1,79,3,1,BE10,BE10-4
2004,BE,5381,677.291381668947,NA,4,2004,25,1,1976,2,3,1,BE,2,NA,NA,2,1,NA,2,NA,3,9,20,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,23,6,1,2,8,6,6,6,6,6,6,5,6,1,2,3,2,NA,2,NA,0,0,1,12820,0,0,0,1,0,0,0,0,0,0,0,80,538,1,27,3,1,BE10,BE10-4
2004,BE,5401,677.291381668947,NA,4,2004,10,3,1962,1,2,NA,BE,2,NA,0,1,NA,NA,NA,NA,2,9,80,12,12,NA,f,NA,13,NA,NA,2,NA,NA,18,3,1,1,1,6,1,3,1,1,8,6,6,2,2,3,2,NA,2,NA,0,0,1,22769,0,0,0,1,0,0,0,0,0,0,0,735,540,1,41,1,1,BE10,BE10-2
2004,BE,5781,677.291381668947,NA,3,2004,17,1,1974,1,2,NA,BE,2,NA,5,1,1,NA,NA,NA,3,8,35,0,0,NA,i,NA,13,NA,1,2,NA,NA,NA,1,1,1,1,8,1,1,1,3,1,1,1,1,2,2,2,NA,2,NA,0,0,1,51083,0,0,0,1,0,0,0,0,0,0,0,952,578,1,29,4,1,BE10,BE10-5
2004,BE,5971,677.291381668947,NA,4,2004,29,1,1979,1,1,1,BE,1,NA,3,4,NA,2,2,NA,NA,4,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,8,8,8,7,7,8,8,7,7,8,7,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,597,1,24,4,1,BE10,BE10-3
2004,BE,6411,677.291381668947,NA,4,2004,12,1,1923,2,5,3,BE,2,NA,3,5,1,1,NA,1,3,4,NA,12,1,NA,NA,NA,NA,1,2,NA,NA,NA,27,8,6,5,6,6,2,1,6,8,6,3,6,2,1,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,15323,0,0,0,0,1300,641,1,80,4,1,BE10,BE10-4
2004,BE,6441,677.291381668947,NA,4,2004,14,3,1943,1,5,1,BE,2,NA,1,5,NA,2,NA,NA,3,0 - 1,18,0,0,NA,NA,NA,13,NA,NA,NA,NA,NA,18,8,5,5,5,8,8,6,5,6,8,5,7,2,2,2,2,NA,2,NA,0,0,1,4785,0,0,0,1,0,3690,0,0,0,0,0,80,644,1,60,4,1,BE10,BE10-1
2004,BE,6791,677.291381668947,NA,4,2004,14,3,1961,2,5,3,BE,2,NA,5,3,NA,1,2,NA,3,2,NA,0,0,NA,NA,NA,NA,1,NA,2,NA,NA,NA,6,8,6,6,5,6,6,5,8,8,2,6,2,1,3,2,NA,2,NA,0,0,1,3778,0,0,0,1,0,2782,0,0,0,0,0,1293,679,1,42,3,1,BE10,BE10-5
2004,BE,6851,677.291381668947,NA,4,2004,5,2,1933,2,2,2,Other,2,NA,0,5,1,1,2,NA,3,7,NA,4,0,NA,NA,NA,NA,NA,2,NA,NA,NA,14,8,6,3,6,3,6,6,6,5,6,5,7,4,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,6788,0,0,0,0,1300,685,1,70,1,1,BE10,BE10-3
2004,BE,7001,677.291381668947,NA,4,2004,21,4,1923,2,2,3,BE,2,NA,3,5,1,1,2,NA,3,4,99,12,0,NA,NA,NA,13,1,NA,2,NA,NA,14,6,2,6,5,5,2,1,6,2,6,NA,8,2,1,3,2,NA,2,NA,0,0,1,4183,0,0,0,1,0,0,9401,0,0,0,0,831,700,1,80,2,1,BE10,BE10-2
2004,BE,7331,677.291381668947,NA,3,2004,20,4,1954,1,1,3,BE,2,NA,3,9,NA,2,NA,NA,3,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,7,7,8,7,7,8,7,8,8,8,7,1,2,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1300,733,1,49,4,1,BE10,BE10-3
2004,BE,7391,677.291381668947,NA,4,2004,10,4,1967,2,5,3,BE,2,NA,0,3,NA,NA,2,NA,3,5,25,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,16,6,2,8,1,6,2,6,6,2,NA,1,5,4,2,2,2,NA,2,NA,0,0,1,0,0,0,0,1,0,11358,0,0,0,0,0,1300,739,1,36,1,1,BE10,BE10-1
2004,BE,7441,677.291381668947,NA,3,2004,5,2,1943,1,2,3,BE,2,NA,2,5,NA,NA,NA,NA,3,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,6,3,6,6,6,5,7,7,6,3,5,6,1,1,3,1,NA,2,NA,0,0,1,0,0,0,0,1,0,8353,0,0,0,0,0,898,744,1,60,4,1,BE10,BE10-3
2004,BE,7461,677.291381668947,NA,3,2004,17,3,1932,2,4,1,BE,2,NA,3,5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,16,8,6,3,5,8,6,7,5,6,8,6,7,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,10489,0,0,0,0,1300,746,1,71,1,1,BE10,BE10-3
2004,BE,7831,677.291381668947,NA,3,2004,10,3,1959,1,2,3,BE,2,2,NA,1,NA,1,2,NA,3,7,NA,0,0,NA,b-e,2,12,NA,NA,2,NA,NA,21,6,2,5,6,5,8,2,6,5,2,6,5,3,2,2,2,NA,2,NA,0,0,1,17629,0,0,0,1,0,0,0,0,0,0,0,1300,783,1,44,4,1,BE10,BE10-3
2004,BE,7851,677.291381668947,NA,4,2004,20,1,1954,2,1,NA,BE,2,NA,5,1,NA,1,2,NA,3,0 - 1,18,12,0,NA,b-e,NA,12,1,2,2,NA,NA,18,6,2,1,1,2,1,1,5,6,1,1,NA,1,2,3,2,NA,2,NA,0,0,1,19702,0,0,0,1,0,0,0,0,0,0,0,704,785,1,49,1,1,BE10,BE10-1
2004,BE,8191,677.291381668947,NA,4,2004,16,3,1947,2,1,1,BE,2,NA,5,4,1,NA,NA,NA,3,2,NA,0,0,23,NA,NA,NA,1,NA,2,NA,NA,16,NA,6,5,2,1,6,NA,6,6,5,2,6,2,1,3,2,NA,2,NA,0,0,1,16943,0,0,0,1,0,0,0,0,0,0,0,1300,819,1,56,4,1,BE10,BE10-4
2004,BE,8211,677.291381668947,NA,4,2004,10,1,1976,2,3,NA,BE,2,NA,3,3,NA,NA,2,NA,3,9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,1,2,NA,6,NA,6,2,2,2,8,8,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,14197,0,0,0,0,0,261,821,1,27,3,1,BE10,BE10-1
2004,BE,8221,677.291381668947,NA,4,2004,13,1,1949,2,5,NA,BE,2,NA,2,1,1,NA,NA,NA,3,4,38,12,0,NA,l-n,NA,13,1,2,NA,NA,NA,18,1,1,1,1,2,1,1,NA,1,1,1,1,2,2,3,2,NA,2,NA,0,0,1,80853,0,0,0,1,0,0,0,0,0,0,0,1300,822,1,54,1,1,BE10,BE10-4
2004,BE,8281,677.291381668947,NA,4,2004,12,2,1947,1,1,1,BE,2,NA,5,1,1,NA,NA,NA,3,0 - 1,40,12,0,NA,b-e,NA,2,2,2,2,NA,NA,24,1,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,NA,2,NA,0,0,1,31916,1008,0,0,1,0,0,0,0,0,0,0,1300,828,1,56,1,1,BE10,BE10-4
2004,BE,8471,677.291381668947,NA,4,2004,20,1,1976,1,2,2,BE,2,NA,2,3,1,NA,NA,NA,3,8,36,12,12,NA,NA,NA,13,1,1,NA,NA,NA,22,2,3,1,1,1,2,1,4,1,1,6,6,2,2,3,2,NA,2,NA,0,0,1,21015,0,0,0,1,0,0,0,0,0,0,0,1300,847,1,27,1,1,BE10,BE10-2
2004,BE,8681,677.291381668947,NA,4,2004,16,4,1948,1,2,1,EU,2,NA,5,1,1,NA,NA,NA,3,0 - 1,50,12,0,NA,g,NA,13,1,2,2,NA,NA,21,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,NA,2,NA,0,0,1,72929,0,0,0,1,0,0,0,0,0,0,0,22,868,1,55,3,1,BE10,BE10-2
2004,BE,8761,677.291381668947,NA,4,2004,17,3,1941,2,1,1,EU,2,NA,5,5,1,NA,2,NA,3,4,38,0,0,NA,NA,NA,13,NA,2,2,NA,NA,22,2,2,1,NA,2,NA,1,2,5,3,6,2,2,2,3,2,NA,1,6,0,0,1,0,0,0,0,1,0,0,23003,0,0,0,0,1300,876,1,62,1,1,BE10,BE10-2
2004,BE,8941,677.291381668947,NA,4,2004,19,2,1925,2,3,NA,BE,2,NA,1,5,1,1,2,NA,3,7,NA,0,0,NA,NA,NA,12,NA,NA,NA,NA,NA,16,5,6,8,6,7,NA,6,7,6,6,5,5,2,2,3,2,NA,1,NA,0,0,1,0,0,0,0,1,0,0,6144,0,0,0,0,657,894,1,78,2,1,BE10,BE10-2
2004,BE,8981,677.291381668947,NA,4,2004,10,3,1943,1,2,2,BE,1,5,1,5,NA,2,NA,NA,NA,0 - 1,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,7,8,8,8,7,8,8,8,7,1,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,426,898,1,60,1,1,BE10,BE10-4
2004,BE,9041,677.291381668947,NA,4,2004,20,1,1955,1,2,1,BE,2,NA,5,1,NA,1,NA,NA,3,0 - 1,18,0,0,NA,b-e,4,6,1,2,2,NA,4,19,6,4,3,6,2,1,6,5,5,5,5,6,2,1,2,2,NA,2,NA,0,0,1,17942,280,0,0,1,0,0,0,0,0,0,0,1300,904,1,48,3,1,BE10,BE10-5
2004,BE,9281,677.291381668947,NA,3,2004,22,1,1965,1,5,NA,BE,2,NA,2,3,1,NA,NA,NA,3,4,NA,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,1,2,6,2,6,6,1,6,6,1,6,3,2,3,2,NA,2,NA,0,0,1,15251,0,0,0,1,0,0,0,0,0,0,0,1300,928,1,38,2,1,BE10,BE10-3
2004,BE,9301,677.291381668947,NA,4,2004,15,3,1923,2,4,3,BE,2,NA,3,5,1,NA,NA,NA,3,NA,NA,12,0,NA,NA,NA,NA,1,NA,2,NA,NA,23,8,1,1,2,6,6,1,2,1,NA,NA,8,3,1,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,13380,0,0,0,0,1300,930,1,80,4,1,BE10,BE10-3
2004,BE,9311,677.291381668947,NA,4,2004,16,1,1969,1,1,1,EU,2,NA,3,1,NA,NA,NA,NA,3,8,38,12,12,NA,b-e,NA,13,1,NA,2,1,NA,26,1,1,1,3,1,1,1,1,1,6,1,1,2,2,3,2,NA,2,NA,0,0,1,53558,0,0,0,1,0,0,0,0,0,0,0,1300,931,1,34,1,1,BE10,BE10-4
2004,BE,9581,677.291381668947,NA,4,2004,8,1,1953,1,1,1,BE,2,NA,6,1,NA,NA,1,NA,3,2,55,12,0,NA,k,NA,13,1,2,2,NA,NA,24,1,1,1,NA,1,1,1,6,1,1,1,1,2,1,3,2,NA,2,NA,0,0,1,47102,0,0,0,1,0,0,0,0,0,0,0,96,958,1,50,3,1,BE10,BE10-2
2004,BE,9591,677.291381668947,NA,3,2004,27,3,1949,2,5,NA,BE,2,NA,2,3,NA,2,2,NA,2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,5,6,NA,6,5,5,5,6,5,5,3,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,3637,0,0,0,0,0,1300,959,1,54,2,1,BE10,BE10-3
2004,BE,9671,677.291381668947,NA,4,2004,19,3,1942,2,5,3,BE,2,NA,3,5,1,1,NA,NA,3,3,NA,12,12,NA,NA,4,NA,1,2,2,NA,NA,21,1,1,1,1,1,1,1,3,2,3,1,1,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,31775,0,0,0,0,323,967,1,61,3,1,BE10,BE10-4
2004,BE,9871,677.291381668947,NA,4,2004,30,2,1937,2,2,2,BE,2,NA,3,5,NA,NA,2,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,14,8,6,5,8,6,6,5,5,5,7,6,8,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,8637,0,0,0,0,1300,987,1,66,3,1,BE10,BE10-4
2004,BE,9951,677.291381668947,NA,4,2004,7,1,1942,1,NA,1,NA,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,7,7,8,7,8,7,8,8,8,3,8,8,2,2,3,2,NA,2,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,722,995,1,61,1,1,BE10,BE10-3
