PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL050,PL051,PL060,PL100,PL111,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PX010,PX020,PX030,PX040,PX050,PT005,PT010,PT020,PT030,PT040,PT050,PT060,PT070,PT080,PT090,PT100,PT110,PT120,PT130,PT140,PT150,PT160,PT170,PT180,PT190,PT200,PT210,DB040,NR_ITW
2011,BE,821,637.933094384707,NA,2,2011,10,3,1947,2,1,1,Other,2,NA,1,10,NA,2,2,NA,2,34,4,70,NA,NA,NA,NA,NA,2,NA,NA,NA,16,1,2,3,NA,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,63,82,1,2,0,NA,2,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,4,NA,BE10,BE10-4
2011,BE,861,637.933094384707,NA,1,2011,9,1,1974,1,2,3,Other,1,NA,2,8,NA,1,2,NA,NA,23,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,36,86,1,2,1241.26,1,NA,7,NA,-1,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,5,5,NA,BE10,BE10-2
2011,BE,1131,637.933094384707,NA,1,2011,3,2,1955,1,4,1,BE,2,5,2,8,NA,NA,2,NA,NA,NA,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,3,2,NA,2,NA,600,1,0,0,0,8440,1,0,0,0,0,0,0,0,0,0,1,1,55,113,1,2,1350.819,NA,NA,3,NA,NA,NA,1,1929,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,4,NA,BE10,BE10-3
2011,BE,1401,637.933094384707,NA,1,2011,10,4,1964,2,2,3,BE,2,3,2,10,NA,2,2,NA,NA,NA,5,20,NA,NA,NA,2,1,NA,NA,NA,3,NA,2,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,46,140,1,2,1104.848,NA,NA,4,NA,NA,NA,NA,1930,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,1441,637.933094384707,NA,2,2011,15,4,1939,2,4,3,BE,2,NA,0,10,NA,NA,2,NA,2,12,5,24,NA,NA,3,1,1,1,NA,NA,NA,14,2,2,3,2,NA,2,NA,0,1,0,0,0,10450,1,0,0,0,0,14616,0,0,0,0,1,1,71,144,1,7,0,1,NA,2,2,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,5,NA,NA,NA,4,1,BE10,BE10-2
2011,BE,1561,637.933094384707,NA,1,2011,23,1,1981,1,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,34,3,45,NA,k,NA,6,1,2,2,NA,NA,22,1,2,3,2,NA,1,NA,1260,1,143670,4773,0,20559,1,0,0,0,0,0,0,0,0,0,1,1,29,156,1,7,0,3,2,2,NA,-1,1,1,1941,1,1,NA,3,1,2,2,1,NA,NA,4,4,1,BE10,BE10-3
2011,BE,2191,637.933094384707,NA,2,2011,15,4,1963,2,1,3,EU,2,NA,5,2,NA,NA,NA,NA,3,12,9,NA,NA,j,NA,13,2,1,NA,NA,NA,19,2,2,3,2,NA,2,NA,0,1,17661,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,47,219,1,2,0,NA,NA,NA,2,NA,4,1,NA,1,NA,NA,NA,2,2,7,1,NA,NA,NA,NA,1,BE10,BE10-1
2011,BE,2391,637.933094384707,NA,1,NA,7,1,1972,1,1,1,EU,2,NA,5,3,1,NA,NA,NA,3,21,2,50,NA,b-e,NA,11,1,2,2,NA,NA,25,3,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,145010,0,0,0,0,0,0,0,1,1,38,239,1,7,523.6335,1,2,2,1,1953,1,1,1935,NA,1,3,NA,2,2,4,5,NA,NA,4,4,1,BE10,BE10-2
2011,BE,2741,637.933094384707,NA,2,2011,12,4,1937,2,4,3,EU,2,NA,0,7,1,NA,NA,NA,3,52,4,40,NA,NA,NA,4,1,1,2,1,NA,29,1,2,3,2,NA,NA,NA,5876,1,0,0,0,0,1,0,0,0,0,24896,0,0,0,0,1,1,73,274,1,6,385.688,NA,2,1,1,NA,2,1,NA,1,1,1,NA,1,2,7,2,2,3,5,4,1,BE10,BE10-1
2011,BE,2941,637.933094384707,NA,2,2011,8,2,1930,2,2,1,BE,2,NA,NA,7,NA,NA,1,NA,3,34,9,20,10,i,NA,NA,1,2,2,NA,4,14,2,2,3,2,NA,2,NA,1200,1,0,0,0,0,1,0,0,0,0,22658,0,0,0,0,1,1,80,294,1,6,0,NA,NA,1,NA,NA,NA,1,1956,NA,1,NA,NA,1,2,2,NA,NA,4,NA,NA,1,BE10,BE10-3
2011,BE,2971,637.933094384707,NA,NA,2011,1,3,1952,1,5,1,BE,2,NA,5,1,1,NA,NA,NA,3,NA,2,40,NA,p,NA,13,1,2,2,NA,NA,28,2,1,3,2,NA,2,NA,1050,1,33660,0,0,4783,1,0,0,0,0,0,0,0,0,0,1,1,58,297,1,5,0,1,NA,NA,1,NA,2,1,NA,NA,NA,1,1,NA,2,3,NA,NA,8,5,NA,1,BE10,BE10-3
2011,BE,3081,637.933094384707,NA,2,2011,2,3,1940,1,5,1,BE,2,NA,5,7,NA,NA,NA,NA,3,21,2,38,NA,NA,NA,NA,1,2,2,NA,NA,18,1,2,3,2,NA,2,NA,0,1,0,0,0,13312,1,0,0,0,0,35924,0,0,0,0,1,1,70,308,1,NA,670.8563,1,3,2,1,NA,NA,1,1944,1,1,NA,1,NA,2,7,1,2,2,5,6,1,BE10,BE10-3
2011,BE,3121,637.933094384707,NA,1,2011,9,2,1939,2,5,3,BE,2,NA,2,7,NA,2,2,NA,NA,52,3,NA,NA,NA,NA,13,NA,2,NA,NA,NA,16,1,2,3,2,NA,1,NA,0,1,0,0,0,0,1,0,0,0,0,0,12305,0,0,0,1,1,71,312,1,7,836.168,1,2,NA,NA,1902,NA,NA,1958,1,NA,NA,NA,NA,NA,NA,5,NA,9,-1,NA,1,BE10,BE10-4
2011,BE,3401,637.933094384707,NA,2,2011,NA,4,1967,1,2,3,EU,2,NA,3,3,1,NA,NA,NA,3,31,NA,29,NA,l-n,NA,11,1,2,2,NA,NA,25,1,2,3,2,NA,2,NA,0,1,0,0,0,14280,1,0,37361,0,0,0,0,0,0,733,1,1,43,340,1,3,1201.672,1,2,3,3,1930,NA,1,1934,1,1,2,1,1,2,NA,2,2,5,5,5,1,BE10,BE10-2
2011,BE,3431,637.933094384707,NA,2,2011,12,2,1961,1,1,3,BE,2,NA,5,1,1,NA,NA,NA,3,41,3,45,NA,b-e,NA,13,1,1,2,NA,NA,22,1,2,3,2,NA,2,NA,0,1,82437,261,0,0,1,0,0,0,0,0,0,0,0,0,1,1,49,343,1,7,2124.327,NA,2,1,2,1945,NA,1,1927,1,1,2,1,NA,1,NA,1,NA,4,5,5,1,BE10,BE10-2
2011,BE,3521,637.933094384707,NA,2,2011,17,3,1938,1,2,3,BE,2,NA,NA,7,1,NA,NA,NA,3,NA,7,36,NA,i,NA,NA,NA,2,2,NA,NA,40,2,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,35703,0,0,0,0,1,1,72,352,1,7,0,3,2,3,1,1922,1,1,1927,1,1,1,1,NA,2,NA,5,1,4,NA,4,2,BE10,BE10-3
2011,BE,3621,637.933094384707,NA,2,2011,3,2,1948,1,1,1,BE,2,NA,5,3,1,NA,2,NA,3,23,0 - 1,38,NA,a,NA,13,1,1,2,7,NA,23,1,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,119616,0,0,0,0,0,0,0,1,1,62,362,1,2,912.4229,1,2,4,2,1951,1,1,1920,1,1,3,2,NA,2,NA,1,2,4,4,5,NA,BE10,BE10-4
2011,BE,3661,637.933094384707,NA,2,2011,12,1,1952,2,2,1,BE,2,NA,5,1,1,NA,NA,NA,3,12,4,24,NA,o,NA,13,1,1,NA,NA,NA,17,4,2,3,2,NA,2,NA,0,1,37562,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,58,366,1,2,1553.729,1,NA,4,0,NA,NA,4,1935,1,1,1,1,2,2,NA,5,2,NA,5,5,1,BE10,BE10-2
2011,BE,3931,637.933094384707,NA,1,2011,2,1,1983,1,1,1,BE,1,NA,5,1,NA,1,NA,NA,NA,NA,2,NA,NA,l-n,NA,NA,1,NA,NA,NA,NA,NA,2,2,3,2,NA,2,NA,0,1,2472,122,0,9395,1,0,0,0,0,0,0,0,0,0,1,1,27,393,1,2,880.8002,1,3,3,NA,NA,NA,NA,1950,1,NA,1,NA,1,1,NA,5,2,NA,2,3,NA,BE10,BE10-2
2011,BE,4001,637.933094384707,NA,2,2011,23,1,1983,2,1,1,EU,2,NA,5,1,1,NA,NA,NA,1,91,3,38,18,NA,NA,12,1,2,NA,NA,NA,16,2,1,3,2,NA,2,NA,0,1,19217,0,0,20558,1,0,0,0,11726,0,0,0,0,0,1,1,27,400,1,7,244.912,1,NA,8,4,NA,NA,NA,1927,1,NA,NA,2,1,2,7,2,NA,NA,NA,NA,2,BE10,BE10-2
2011,BE,4031,637.933094384707,NA,2,2011,8,2,1985,1,1,1,EU,2,4,5,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,2,NA,1540,1,1816,0,0,14344,1,0,0,0,0,0,0,0,0,0,1,1,25,403,1,6,929.0169,NA,NA,1,1,1922,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,BE10,BE10-5
2011,BE,4061,637.933094384707,NA,1,2011,12,3,1952,2,1,1,BE,2,NA,5,1,1,NA,NA,NA,NA,24,2,30,NA,p,NA,NA,1,1,2,NA,NA,23,2,1,3,2,NA,2,NA,130,1,35271,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,58,406,1,7,536.9539,1,2,1,3,1934,NA,1,1928,1,1,3,NA,1,1,2,5,NA,NA,5,6,1,BE10,BE10-5
2011,BE,4281,637.933094384707,NA,2,2011,7,4,1930,2,5,1,BE,2,NA,1,7,1,1,NA,NA,3,71,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,14,3,1,2,2,NA,2,NA,275,1,0,0,0,0,1,0,0,0,0,19711,0,0,0,0,1,1,80,428,1,2,1456.704,NA,2,NA,NA,1954,NA,1,1954,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,4951,637.933094384707,NA,2,2011,15,2,1980,1,1,3,BE,2,NA,2,5,1,1,NA,NA,3,91,7,NA,NA,NA,NA,3,NA,NA,2,NA,5,23,1,1,3,2,NA,1,NA,0,1,0,0,0,8528,1,0,0,0,10427,0,0,0,0,0,1,1,30,495,1,5,0,NA,2,NA,NA,NA,NA,NA,-1,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-5
2011,BE,5081,637.933094384707,NA,1,2011,21,3,1952,1,4,3,BE,2,NA,3,7,1,NA,2,NA,1,51,0 - 1,38,NA,NA,NA,13,1,1,2,NA,NA,23,2,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,31293,0,0,0,0,1,1,58,508,1,2,630.7387,NA,2,NA,NA,1929,1,1,1953,1,1,2,1,1,2,NA,5,2,2,2,NA,NA,BE10,BE10-3
2011,BE,5091,637.933094384707,NA,2,2011,18,3,1983,1,1,1,Other,2,NA,2,11,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,17,2,2,3,2,NA,2,NA,0,1,0,0,0,10939,1,0,0,0,0,0,0,0,0,0,1,1,27,509,1,2,0,1,NA,NA,4,1960,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,BE10,BE10-5
2011,BE,5211,637.933094384707,NA,2,2011,5,2,1963,1,2,3,BE,2,5,2,2,NA,NA,NA,NA,3,91,7,NA,NA,NA,NA,13,1,2,2,NA,NA,21,2,2,2,2,NA,2,NA,0,1,9347,0,0,5550,1,0,0,0,0,10794,0,0,0,0,1,1,47,521,1,6,0,NA,5,NA,NA,NA,NA,2,NA,NA,1,2,NA,2,2,2,1,NA,NA,5,3,1,BE10,BE10-4
2011,BE,5341,637.933094384707,NA,1,2011,6,1,1955,1,2,3,BE,2,NA,3,3,1,NA,NA,1,NA,93,NA,20,NA,g,6,13,1,2,2,NA,NA,21,NA,2,2,2,NA,2,NA,0,1,0,0,0,6360,1,0,26381,0,0,0,0,0,0,0,1,1,55,534,1,2,666.2844,1,2,1,1,1935,1,1,1942,1,1,NA,3,6,1,7,5,2,NA,5,NA,1,BE10,BE10-2
2011,BE,5441,637.933094384707,NA,1,2011,7,4,1943,1,1,3,BE,2,NA,3,7,NA,NA,2,NA,1,83,4,25,NA,NA,NA,12,1,2,NA,NA,NA,14,5,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,14387,0,0,0,0,1,1,67,544,1,7,639.0416,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,-1,NA,NA,NA,NA,2,NA,4,4,2,BE10,BE10-5
2011,BE,5701,637.933094384707,NA,2,2011,12,4,1974,1,2,3,BE,1,3,0,8,NA,2,NA,NA,3,41,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,25,1,2,3,2,NA,1,NA,0,1,0,0,0,16425,1,0,0,0,0,0,0,0,0,0,1,1,36,570,1,2,0,NA,NA,NA,NA,NA,NA,1,NA,4,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2011,BE,5741,637.933094384707,NA,2,2011,2,1,1955,1,2,3,BE,2,NA,2,1,1,NA,NA,NA,3,41,7,40,16,g,NA,9,1,1,2,NA,NA,22,1,2,3,2,NA,2,2,0,1,83503,1846,0,0,1,0,0,0,0,0,0,0,0,0,1,1,55,574,1,6,681.4058,1,3,NA,2,1922,NA,1,1944,1,2,1,1,2,2,7,5,NA,NA,5,4,3,BE10,BE10-4
2011,BE,5781,637.933094384707,NA,2,2011,12,1,1955,1,1,1,BE,2,NA,5,1,1,1,2,NA,2,91,0 - 1,NA,NA,g,NA,NA,1,2,NA,NA,NA,14,2,1,3,2,NA,2,NA,0,1,13744,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,55,578,1,2,1545.937,1,NA,7,1,NA,NA,1,1954,NA,4,1,NA,NA,2,NA,NA,NA,NA,4,NA,NA,BE10,BE10-2
2011,BE,5821,637.933094384707,NA,2,2011,21,4,1943,2,5,3,BE,2,NA,3,7,1,1,NA,NA,3,52,3,32,NA,NA,NA,11,1,2,2,NA,NA,19,3,2,1,2,NA,2,NA,2578,1,0,0,0,14643,1,0,0,0,0,0,26718,0,0,0,1,1,67,582,1,2,0,1,3,NA,NA,1931,1,1,1918,1,1,2,1,2,2,2,1,NA,NA,2,NA,NA,BE10,BE10-1
2011,BE,5841,637.933094384707,NA,1,2011,18,2,1934,2,5,1,BE,2,NA,0,7,NA,1,NA,NA,3,91,NA,19,NA,NA,NA,12,1,1,NA,NA,NA,21,4,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,19932,0,0,0,0,0,1,1,76,584,1,2,0,NA,2,NA,NA,1944,NA,NA,1954,NA,1,NA,NA,NA,NA,NA,2,NA,NA,5,NA,1,BE10,BE10-4
2011,BE,6251,637.933094384707,NA,1,2011,21,4,1952,2,2,3,BE,2,NA,5,1,1,NA,NA,NA,3,23,2,65,NA,q,NA,13,1,1,2,NA,NA,18,1,2,3,2,NA,2,NA,1500,1,96808,0,0,18678,1,0,0,0,0,0,0,0,0,0,1,1,58,625,1,7,499.5089,NA,4,2,3,1935,1,1,1941,1,1,2,2,1,NA,NA,5,2,NA,4,NA,3,BE10,BE10-2
2011,BE,6371,637.933094384707,NA,1,2011,6,1,1987,1,1,3,BE,1,NA,5,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,23,637,1,2,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,BE10,BE10-3
2011,BE,6411,637.933094384707,NA,2,2011,17,1,1978,2,1,1,BE,2,NA,3,1,1,NA,NA,NA,3,23,5,38,NA,q,NA,12,NA,2,2,NA,NA,24,1,2,3,2,NA,2,NA,0,1,51902,0,0,7796,1,0,0,0,0,0,0,0,0,0,1,1,32,641,1,7,684.8039,1,2,1,2,1955,1,1,1940,1,1,2,1,1,1,4,5,NA,NA,5,3,1,BE10,BE10-3
2011,BE,6471,637.933094384707,NA,2,2011,6,3,1951,2,2,1,BE,2,NA,5,7,1,NA,NA,NA,3,74,2,20,NA,NA,NA,13,1,NA,NA,NA,NA,20,4,2,3,2,NA,2,NA,0,1,0,0,0,17690,1,0,0,0,0,0,16456,0,0,0,1,1,59,647,1,2,353.4364,1,NA,NA,1,1953,1,3,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,BE10,BE10-3
2011,BE,6521,637.933094384707,NA,1,2011,30,3,1930,1,4,1,EU,2,NA,0,7,1,NA,NA,NA,3,83,NA,36,NA,NA,NA,3,1,2,NA,NA,NA,22,1,2,3,2,NA,NA,NA,0,1,0,0,0,17462,1,0,0,0,0,24865,0,0,0,0,1,1,80,652,1,5,1052.423,NA,NA,NA,2,1924,NA,4,1957,NA,1,1,NA,NA,NA,NA,5,NA,NA,NA,NA,1,BE10,BE10-1
2011,BE,6931,637.933094384707,NA,1,2011,2,3,1933,1,2,1,BE,2,NA,3,7,NA,1,2,NA,3,32,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,23,2,1,2,2,1,2,NA,0,1,0,0,0,0,1,0,0,0,0,12583,0,0,0,0,1,1,77,693,1,2,750.9608,1,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,4,2,NA,5,NA,NA,4,1,NA,BE10,BE10-4
2011,BE,6971,637.933094384707,NA,NA,2011,14,3,1972,1,2,3,BE,2,NA,5,1,NA,1,NA,1,3,71,2,10,NA,p,NA,NA,NA,2,2,NA,NA,14,2,1,3,2,NA,2,NA,2100,1,16046,0,0,10180,1,0,0,0,0,0,0,0,0,0,1,1,38,697,1,3,0,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,1,1,BE10,BE10-2
2011,BE,7351,637.933094384707,NA,2,2011,23,1,1952,2,2,1,EU,2,NA,1,2,1,NA,NA,NA,3,91,9,38,NA,l-n,NA,13,1,2,2,NA,NA,21,1,2,3,2,NA,2,NA,642,1,47734,0,0,9486,1,0,0,0,6478,0,0,0,0,0,1,1,58,735,1,2,546.9095,1,2,2,NA,1950,2,1,1931,1,1,1,1,1,NA,7,5,NA,9,3,6,1,BE10,BE10-1
2011,BE,7401,637.933094384707,NA,1,2011,13,1,1965,2,2,3,BE,2,NA,5,1,1,NA,NA,NA,3,72,NA,40,NA,NA,NA,1,1,1,2,NA,NA,18,2,2,3,2,NA,2,NA,0,1,44635,582,0,0,1,0,0,0,1138,0,0,0,0,0,1,1,45,740,1,2,615.4166,1,3,1,0,1956,1,1,1943,NA,1,1,1,1,NA,8,2,NA,9,6,3,1,BE10,BE10-3
2011,BE,7571,637.933094384707,NA,2,2011,11,1,1979,1,2,1,Other,2,NA,3,1,1,NA,NA,NA,3,13,4,36,NA,NA,NA,13,1,2,2,NA,NA,22,2,2,3,2,NA,2,NA,0,1,57921,0,0,9771,1,0,0,0,0,0,0,0,0,0,1,1,31,757,1,2,1214.126,NA,3,NA,NA,-1,1,1,1941,2,1,3,3,1,1,NA,1,2,9,6,4,1,BE10,BE10-3
2011,BE,7951,637.933094384707,NA,2,2011,12,4,1967,2,1,NA,BE,2,NA,2,1,1,NA,NA,NA,2,32,4,60,NA,r-u,NA,13,1,2,2,NA,NA,19,3,1,3,2,NA,2,NA,1656,1,39913,2122,0,0,1,0,0,0,0,0,0,2233,0,0,1,1,43,795,1,2,1295.266,3,NA,2,0,1921,1,NA,-1,1,1,2,NA,1,2,2,1,NA,NA,5,4,1,BE10,BE10-1
2011,BE,8001,637.933094384707,NA,1,2011,19,3,1930,2,2,1,BE,2,NA,2,7,1,NA,NA,NA,3,41,4,38,NA,NA,NA,13,1,1,2,NA,NA,24,2,2,2,2,NA,NA,NA,0,1,0,0,0,20398,1,0,0,0,0,0,40024,0,0,0,1,1,80,800,1,2,1150.939,1,2,5,1,1928,2,1,1924,4,1,1,3,1,1,7,1,NA,5,3,4,1,BE10,BE10-2
2011,BE,8051,637.933094384707,NA,3,2011,11,4,1975,2,2,1,BE,2,NA,2,1,1,NA,NA,NA,3,42,9,NA,NA,q,NA,NA,1,1,2,NA,NA,17,2,2,3,2,NA,2,NA,480,1,27411,1799,833,0,1,0,0,0,0,0,0,0,0,0,1,1,35,805,1,7,543.4063,NA,2,2,2,1933,NA,NA,1955,1,1,1,NA,6,NA,4,NA,NA,NA,4,NA,1,BE10,BE10-5
2011,BE,8311,637.933094384707,NA,2,2011,5,1,1944,2,5,1,BE,2,NA,5,7,NA,NA,NA,NA,3,72,2,19,NA,NA,NA,2,2,2,2,NA,NA,19,2,2,3,2,NA,2,NA,0,1,0,0,0,12521,1,0,0,0,9372,11207,0,0,0,0,1,1,66,831,1,6,983.6429,1,NA,NA,NA,NA,NA,NA,1934,NA,NA,1,NA,NA,1,8,NA,NA,NA,5,NA,NA,BE10,BE10-2
2011,BE,8451,637.933094384707,NA,1,2011,1,2,1966,1,2,3,BE,2,NA,3,1,1,NA,NA,NA,3,24,8,38,NA,h,NA,13,1,2,2,NA,NA,21,1,2,3,2,NA,2,NA,0,1,93356,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,44,845,1,7,0,1,6,3,2,1958,1,1,1936,1,1,3,1,1,2,3,1,2,NA,5,4,2,BE10,BE10-1
