PB010,PB020,PB030,PB040,PB060,PB100,PB110,PB120,PB130,PB140,PB150,PB190,PB200,PB220A,PE010,PE020,PE040,PL031,PL035,PL015,PL020,PL025,PL040,PL050,PL060,PL100,PL120,PL130,PL140,PL150,PL160,PL170,PL180,PL190,PL210A,PL210B,PL210C,PL210D,PL210E,PL210F,PL210G,PL210H,PL210I,PL210J,PL210K,PL210L,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PY020N,PY035N,PY010G,PY020G,PY021G,PY030G,PY031G,PY035G,PY050G,PY080G,PY090G,PY100G,PY110G,PY120G,PY130G,PY140G,PY200G,PA010,PA020,PA030,PA040,PA050,PA060,PA070,PA080,PA090,PA100,PA110,PA120,PA130,PA140,PA150,PA160,pl030,pl030_f,pl070,pl070_f,pl072,pl072_f,pl110_f,PY070N,PY070G,PX030,PX040,PL051,PX020,PX050,PX010,PL110,PL111,DB040,NR_ITW
2010,BE,801,644.117647058824,NA,1,2010,3,4,1979,1,1,3,BE,2,NA,5,1,NA,2,NA,NA,3,0 - 1,NA,NA,NA,NA,2,1,2,NA,NA,21,6,6,2,1,1,6,3,1,6,2,6,6,1,1,3,2,NA,2,NA,0,1,20140,981,0,17242,1,0,0,0,0,0,0,0,0,0,1,5,1,2,NA,NA,NA,2,NA,NA,1,11,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,80,1,NA,30,2,1,NA,k,BE10,BE10-3
2010,BE,851,644.117647058824,NA,1,2010,14,2,1945,2,2,1,EU,2,NA,1,2,1,NA,2,NA,3,5,NA,NA,NA,NA,1,2,2,NA,NA,19,6,1,1,1,1,1,1,1,6,2,1,1,3,2,3,2,NA,2,NA,2125,1,34047,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,2,NA,2,2,2,1,1,NA,NA,NA,20,NA,30,600,NA,NA,NA,NA,NA,NA,NA,1,0,85,1,NA,64,5,1,NA,r-u,BE10,BE10-3
2010,BE,1111,644.117647058824,NA,3,2010,8,2,1929,1,4,3,BE,2,NA,5,7,1,1,NA,NA,3,0 - 1,38,NA,NA,11,1,2,2,2,NA,27,5,1,1,6,1,2,6,6,1,2,5,1,1,2,3,2,NA,2,NA,0,1,0,0,0,12647,1,0,0,0,0,29387,0,0,0,0,1,5,1,2,NA,2,2,2,2,1,NA,26,NA,12,25,100,10,NA,NA,NA,NA,NA,NA,NA,1,0,111,1,NA,80,7,1,NA,NA,BE10,BE10-4
2010,BE,1371,644.117647058824,NA,1,2010,19,4,1974,1,2,1,BE,2,NA,6,1,1,NA,NA,NA,3,9,38,NA,NA,4,1,2,2,NA,NA,18,6,1,2,1,1,1,3,1,1,1,2,3,2,2,3,2,NA,2,NA,0,1,26020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,NA,NA,NA,2,2,2,1,2,2,3,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,137,1,NA,35,6,1,NA,l-n,BE10,BE10-2
2010,BE,1541,644.117647058824,NA,2,2010,7,2,1938,1,2,2,BE,2,NA,6,7,1,1,NA,NA,3,0 - 1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,2,6,7,6,5,6,6,6,8,7,5,3,1,3,2,NA,2,NA,0,1,0,0,0,15961,1,0,0,0,8912,0,0,0,0,0,1,NA,NA,3,NA,2,2,NA,NA,1,NA,6,NA,15,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,154,1,NA,71,2,1,NA,NA,BE10,BE10-5
2010,BE,2151,644.117647058824,NA,1,2010,12,1,1982,1,2,1,BE,2,NA,3,1,NA,NA,NA,NA,3,9,NA,NA,NA,NA,1,1,2,NA,NA,22,5,6,6,1,1,6,6,6,6,6,8,1,1,2,2,2,NA,2,NA,0,1,15124,643,0,12558,1,0,0,0,5149,0,0,0,0,0,1,1,1,2,NA,2,2,2,NA,1,1,3,NA,NA,NA,0,250,NA,NA,NA,NA,NA,NA,NA,1,0,215,1,NA,27,2,1,NA,l-n,BE10,BE10-3
2010,BE,2351,644.117647058824,NA,2,2010,7,1,1975,1,1,1,Other,2,NA,3,11,NA,1,NA,NA,1,7,NA,NA,NA,12,1,2,NA,NA,NA,14,6,8,6,6,6,6,1,6,5,6,8,8,2,2,2,1,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,6607,0,0,1,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,16,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,1,0,235,1,NA,34,7,1,NA,NA,BE10,BE10-4
2010,BE,2701,644.117647058824,NA,2,2010,9,2,1974,1,1,1,BE,1,3,5,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7,8,8,7,8,8,8,8,7,7,3,2,3,2,NA,2,NA,0,1,0,0,0,16861,1,0,0,0,0,0,0,0,0,0,1,6,1,NA,NA,NA,NA,NA,2,2,NA,15,NA,17,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1,0,270,1,NA,35,2,1,NA,NA,BE10,BE10-3
2010,BE,2891,644.117647058824,NA,1,2010,13,1,1944,2,5,3,BE,2,NA,5,7,NA,NA,NA,NA,3,0 - 1,38,NA,NA,13,1,NA,2,NA,NA,16,1,1,1,1,1,1,1,1,2,6,1,3,1,2,3,2,NA,2,NA,0,1,0,0,0,18352,1,0,0,0,0,26498,0,0,0,0,1,5,1,2,NA,NA,2,2,2,1,NA,3,1,80,5,500,NA,NA,NA,NA,NA,NA,NA,NA,1,0,289,1,NA,65,2,1,NA,NA,BE10,BE10-2
2010,BE,2921,644.117647058824,NA,1,2010,15,4,1956,2,5,3,BE,2,NA,3,7,NA,1,2,NA,NA,8,NA,NA,NA,NA,2,2,2,NA,NA,19,6,5,2,8,6,6,8,6,3,5,8,6,3,2,1,2,NA,2,NA,0,1,0,0,0,8925,1,0,0,0,0,5118,0,0,0,0,1,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,292,1,NA,53,6,1,NA,NA,BE10,BE10-2
2010,BE,3031,644.117647058824,NA,2,2010,15,1,1930,1,4,3,Other,2,NA,0,11,NA,NA,NA,NA,3,NA,9,NA,NA,NA,1,NA,NA,NA,3,19,1,1,1,6,6,1,1,6,6,2,8,5,2,2,2,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20473,0,1,5,1,2,NA,NA,3,NA,NA,1,NA,47,NA,4,NA,150,350,NA,NA,NA,NA,NA,NA,NA,1,0,303,1,NA,79,2,1,NA,q,BE10,BE10-2
2010,BE,3071,644.117647058824,NA,1,2010,14,3,1960,1,1,3,BE,2,NA,2,1,1,NA,NA,NA,3,4,70,NA,NA,NA,1,1,2,NA,NA,26,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,NA,2,NA,0,1,43513,0,0,11742,1,0,0,0,0,0,0,0,0,0,1,5,NA,2,2,2,2,2,NA,1,NA,19,3,30,3,30,NA,NA,NA,NA,NA,NA,NA,NA,1,0,307,1,NA,49,7,1,NA,j,BE10,BE10-5
2010,BE,3351,644.117647058824,NA,2,2010,13,4,1977,1,2,3,BE,2,NA,5,1,1,NA,NA,NA,1,4,38,NA,NA,11,1,2,2,NA,NA,NA,1,1,1,1,1,1,1,1,3,5,1,1,2,2,3,2,NA,2,NA,0,1,34398,1117,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,NA,2,NA,2,2,3,1,NA,NA,10,22,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1,0,335,1,NA,32,6,1,NA,k,BE10,BE10-2
2010,BE,3381,644.117647058824,NA,1,2010,7,1,1929,1,4,3,BE,2,NA,2,7,1,NA,NA,NA,3,0 - 1,40,40,NA,12,2,1,2,NA,NA,23,1,1,1,1,6,1,6,1,1,6,1,1,2,2,3,2,NA,2,NA,0,1,0,0,0,15910,1,0,0,0,0,23043,0,0,0,0,1,1,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,338,1,NA,80,2,1,NA,NA,BE10,BE10-3
2010,BE,3461,644.117647058824,NA,1,2010,26,2,1940,1,2,3,BE,2,NA,2,7,NA,1,2,NA,3,3,32,NA,NA,NA,1,1,NA,NA,NA,20,1,1,1,6,1,1,5,5,2,2,2,1,1,2,3,2,NA,2,NA,0,1,0,0,0,8284,1,0,0,0,0,26492,0,0,0,0,1,1,1,NA,NA,2,NA,2,2,1,NA,32,6,20,NA,300,20,NA,NA,NA,NA,NA,NA,NA,1,0,346,1,NA,69,2,1,NA,NA,BE10,BE10-5
2010,BE,3561,644.117647058824,NA,1,2010,11,4,1944,2,2,1,BE,1,NA,5,4,NA,NA,NA,NA,2,3,30,NA,NA,13,1,2,NA,NA,NA,15,6,8,6,1,2,6,1,6,6,5,6,1,1,2,3,2,NA,2,NA,0,1,0,0,0,17882,1,0,17255,0,0,0,2002,0,0,0,1,5,1,NA,NA,NA,NA,NA,2,NA,NA,23,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,356,1,NA,65,2,1,NA,q,BE10,BE10-5
2010,BE,3601,644.117647058824,NA,1,2010,10,2,1965,2,2,1,BE,2,NA,0,10,NA,1,2,NA,NA,NA,32,NA,NA,NA,1,2,NA,NA,4,21,6,2,6,6,1,5,5,5,6,5,8,5,4,2,3,2,NA,2,NA,1254,1,0,0,0,1250,1,0,0,0,0,0,0,0,0,3965,1,NA,1,NA,NA,3,NA,NA,NA,3,NA,NA,5,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,360,1,NA,44,2,1,NA,NA,BE10,BE10-2
2010,BE,3871,644.117647058824,NA,2,2010,15,2,1939,2,4,1,BE,2,NA,1,7,NA,1,1,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,14,5,5,2,5,6,5,5,6,8,8,6,2,2,2,3,2,NA,2,NA,0,1,0,0,0,9872,1,0,0,0,0,9929,0,0,0,0,1,5,1,2,NA,NA,2,NA,NA,1,2,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,387,1,NA,70,6,1,NA,NA,BE10,BE10-2
2010,BE,3961,644.117647058824,NA,1,2010,10,1,1983,1,5,1,Other,2,NA,0,5,1,1,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,15,6,6,2,6,6,2,6,6,6,2,1,1,1,1,3,2,NA,2,NA,0,1,0,0,0,12558,1,0,0,0,17372,0,0,0,0,0,1,NA,1,1,NA,2,4,NA,NA,1,1,42,NA,25,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1,0,396,1,NA,26,7,1,NA,NA,BE10,BE10-3
2010,BE,3991,644.117647058824,NA,1,2010,12,2,1967,1,4,3,BE,2,NA,1,2,1,NA,NA,NA,3,9,36,NA,NA,13,NA,2,2,NA,NA,18,1,1,1,1,1,5,1,1,1,1,1,2,1,1,3,2,NA,2,NA,0,1,59549,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,3,NA,NA,1,2,2,1,NA,6,2,10,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,1,0,399,1,NA,42,3,1,NA,p,BE10,BE10-5
2010,BE,4211,644.117647058824,NA,2,2010,26,4,1935,2,5,1,BE,2,NA,3,7,1,NA,NA,NA,3,2,31,NA,NA,13,1,1,2,NA,NA,21,1,1,3,3,3,1,6,1,1,1,2,1,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,18761,18077,0,0,0,0,1,3,1,2,2,2,1,1,2,1,1,17,3,20,20,100,200,NA,NA,NA,NA,NA,NA,NA,1,0,421,1,NA,74,7,1,NA,NA,BE10,BE10-2
2010,BE,4871,644.117647058824,NA,2,2010,10,4,1946,1,5,1,BE,2,NA,6,1,1,NA,2,NA,3,2,36,NA,NA,13,1,1,2,NA,NA,19,6,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,NA,2,NA,0,1,97382,0,0,13349,1,0,0,0,0,0,0,0,0,0,1,5,NA,2,NA,NA,2,NA,2,2,NA,5,NA,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,487,1,NA,63,2,1,NA,q,BE10,BE10-4
2010,BE,5001,644.117647058824,NA,2,2010,20,2,1982,1,1,3,Other,1,5,5,6,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,16,8,8,8,7,8,8,7,8,7,5,6,2,1,1,3,2,NA,2,NA,0,1,0,0,0,14183,1,0,0,0,0,0,0,0,0,0,1,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,NA,1,0,500,1,NA,27,5,1,NA,NA,BE10,BE10-1
2010,BE,5121,644.117647058824,NA,2,2010,7,1,1970,1,2,1,BE,1,NA,5,3,NA,1,2,NA,3,0 - 1,24,NA,NA,13,1,NA,NA,NA,4,18,6,2,6,6,8,1,6,2,5,6,6,2,1,2,3,2,NA,2,NA,0,1,0,0,0,12878,1,0,17930,0,0,0,0,0,0,0,1,5,1,NA,2,2,2,2,NA,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,512,1,NA,39,2,1,NA,h,BE10,BE10-4
2010,BE,5261,644.117647058824,NA,2,2010,6,1,1974,1,2,1,Other,2,NA,3,8,1,1,1,NA,2,9,NA,NA,4,NA,1,NA,NA,NA,NA,18,6,6,5,5,5,8,8,6,8,6,5,5,3,1,3,2,NA,2,NA,891,1,0,0,0,10312,1,0,0,0,0,0,0,7501,0,0,1,NA,NA,2,2,NA,NA,NA,NA,1,NA,35,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,526,1,NA,35,6,1,NA,NA,BE10,BE10-1
2010,BE,5611,644.117647058824,NA,2,2010,11,2,1974,1,2,1,BE,2,NA,5,1,1,NA,2,NA,3,0 - 1,50,NA,NA,13,1,1,2,NA,NA,18,1,1,1,1,1,6,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,1,36924,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,1,3,2,NA,2,1,2,1,NA,NA,3,40,14,NA,300,NA,NA,NA,NA,NA,NA,NA,1,0,561,1,NA,35,3,1,NA,k,BE10,BE10-4
2010,BE,5641,644.117647058824,NA,1,2010,26,4,1971,2,2,3,EU,2,NA,5,1,NA,1,NA,1,3,2,38,NA,NA,13,NA,1,2,NA,NA,22,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,NA,2,NA,0,1,35469,1423,0,19496,1,0,0,0,0,0,0,0,0,0,1,5,1,NA,3,NA,NA,2,2,NA,NA,NA,8,20,NA,75,50,NA,NA,NA,NA,NA,NA,NA,1,0,564,1,NA,38,3,1,NA,o,BE10,BE10-5
2010,BE,5681,644.117647058824,NA,1,2010,16,2,1941,1,2,3,BE,2,NA,2,2,NA,NA,NA,NA,3,5,NA,NA,4,NA,1,2,NA,NA,NA,NA,1,3,6,1,6,6,8,6,6,1,3,3,2,1,1,2,NA,2,NA,0,1,18275,0,0,0,1,0,0,0,2534,0,0,0,0,0,1,6,NA,3,NA,2,2,2,NA,NA,NA,NA,6,23,30,100,25,NA,NA,NA,NA,NA,NA,NA,1,0,568,1,NA,68,2,1,NA,g,BE10,BE10-1
2010,BE,5721,644.117647058824,NA,1,2010,12,3,1930,1,2,1,BE,2,NA,1,7,NA,1,1,NA,2,4,NA,NA,NA,NA,2,2,NA,NA,NA,22,2,6,3,6,5,6,2,1,2,6,6,2,1,1,3,2,NA,2,NA,172,1,0,0,0,0,1,0,0,0,0,21083,0,0,0,0,1,NA,1,2,NA,2,NA,4,NA,1,NA,7,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,572,1,NA,79,6,1,NA,NA,BE10,BE10-4
2010,BE,5751,644.117647058824,NA,2,2010,19,2,1987,2,1,3,BE,1,NA,3,6,1,2,NA,NA,NA,NA,35,NA,NA,NA,NA,2,NA,NA,NA,NA,8,7,7,6,7,7,8,8,7,7,8,7,2,2,2,2,NA,2,NA,510,1,0,0,0,10187,1,0,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,NA,NA,NA,2,1,NA,23,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1,0,575,1,NA,22,6,1,NA,NA,BE10,BE10-3
2010,BE,6151,644.117647058824,NA,3,2010,13,4,1946,1,5,3,BE,2,NA,6,1,1,NA,NA,NA,3,2,60,NA,NA,13,1,2,2,NA,NA,23,1,6,3,1,1,1,1,1,3,1,1,8,2,2,3,2,NA,1,NA,0,1,87962,2811,2128,12631,1,0,0,0,0,0,0,0,0,0,1,6,1,1,NA,2,2,2,NA,1,NA,21,6,25,0,400,0,NA,NA,NA,NA,NA,NA,NA,1,0,615,1,NA,63,2,1,NA,p,BE10,BE10-4
2010,BE,6261,644.117647058824,NA,2,2010,26,1,1970,1,2,3,Other,2,NA,5,1,NA,NA,2,NA,3,9,29,NA,NA,NA,1,2,2,NA,NA,19,5,6,2,5,1,6,2,1,2,2,6,5,3,1,3,2,NA,2,NA,25,1,22483,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,3,2,NA,NA,NA,NA,16,NA,12,NA,50,200,NA,NA,NA,NA,NA,NA,NA,1,0,626,1,NA,39,2,1,NA,l-n,BE10,BE10-2
2010,BE,6301,644.117647058824,NA,1,2010,4,2,1960,1,5,1,BE,2,NA,0,5,NA,1,2,NA,3,5,24,NA,NA,NA,1,2,2,NA,NA,NA,7,5,8,2,2,6,8,6,6,6,7,5,1,1,2,2,NA,2,NA,0,1,5446,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,NA,1,NA,NA,NA,2,NA,1,NA,46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,630,1,NA,49,2,1,NA,NA,BE10,BE10-4
2010,BE,6361,644.117647058824,NA,2,2010,4,3,1961,1,5,3,BE,2,NA,5,1,1,NA,NA,NA,3,2,38,NA,NA,NA,1,1,NA,NA,NA,18,1,2,2,2,1,1,1,1,1,1,1,2,3,2,3,2,NA,2,NA,0,1,28655,0,0,11331,1,0,0,0,0,0,0,0,0,0,1,4,1,2,NA,1,2,2,1,1,NA,20,NA,10,NA,150,1250,NA,NA,NA,NA,NA,NA,NA,1,0,636,1,NA,48,2,1,NA,b-e,BE10,BE10-4
2010,BE,6821,644.117647058824,NA,1,2010,12,3,1975,2,1,3,BE,2,NA,5,1,1,NA,NA,NA,3,5,32,NA,NA,11,NA,2,2,NA,NA,17,1,2,2,1,1,1,1,1,1,1,1,1,3,2,3,2,NA,2,NA,0,1,47685,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,NA,NA,1,NA,1,1,NA,6,10,10,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,682,1,NA,34,6,1,NA,l-n,BE10,BE10-4
2010,BE,6861,644.117647058824,NA,1,2010,19,3,1982,1,2,1,BE,2,NA,5,3,NA,1,NA,NA,2,3,NA,NA,5,NA,1,2,NA,NA,NA,NA,5,6,6,8,6,5,6,8,6,1,6,5,2,1,3,2,NA,2,NA,0,1,0,0,0,24763,1,0,14177,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,2,NA,1,18,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,686,1,NA,27,6,1,NA,k,BE10,BE10-1
2010,BE,7231,644.117647058824,NA,3,2010,4,2,1950,2,1,3,BE,2,NA,2,8,NA,NA,2,NA,3,3,40,NA,NA,NA,1,2,NA,NA,NA,17,6,2,2,6,2,1,6,2,6,6,6,3,4,2,3,2,NA,2,NA,0,1,0,0,0,9345,1,0,0,0,0,0,0,0,16311,0,1,5,1,NA,NA,2,2,2,NA,2,NA,1,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,723,1,NA,59,6,1,NA,NA,BE10,BE10-3
2010,BE,7281,644.117647058824,NA,2,2010,9,1,1962,1,2,3,Other,2,NA,0,11,NA,2,2,NA,2,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,8,6,6,7,7,8,8,8,8,6,7,1,2,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,728,1,NA,47,6,1,NA,NA,BE10,BE10-3
2010,BE,7451,644.117647058824,NA,2,2010,19,2,1956,1,2,3,BE,2,NA,3,3,NA,1,2,NA,3,7,NA,NA,NA,13,1,2,NA,NA,NA,21,1,2,3,6,5,2,2,6,1,6,1,1,1,2,3,2,NA,2,NA,1297,1,0,0,0,13592,1,0,15598,0,0,0,0,0,0,0,1,5,1,2,NA,1,2,2,1,1,1,NA,NA,0,77,100,NA,NA,NA,NA,NA,NA,NA,NA,1,0,745,1,NA,53,2,1,NA,h,BE10,BE10-5
2010,BE,7821,644.117647058824,NA,2,2010,7,2,1968,2,5,1,BE,1,NA,1,8,1,1,2,NA,1,NA,14,NA,NA,NA,1,1,NA,NA,NA,19,6,6,8,8,5,6,6,5,8,6,6,2,4,1,3,2,NA,2,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12505,0,1,5,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1,0,782,1,NA,41,2,1,NA,NA,BE10,BE10-2
